place,title,time,pay,date
인천 중구,(주)에치와이 영종점,06:00~09:00,"월급1,100,000",02/25
인천 중구,(주)에치와이 영종점,06:00~09:00,"월급1,100,000",02/25
인천 중구,(주)에치와이 영종점,06:00~09:00,"월급1,100,000",02/25
경남 양산시,(주)에치와이,시간협의,"월급1,700,000",02/25
부산 사상구,(주)에치와이,시간협의,"월급2,000,000",02/25
부산 연제구,(주)에치와이,시간협의,"월급1,000,000",02/25
울산 중구,(주)에치와이,시간협의,"월급1,500,000",02/25
부산 동래구,(주)에치와이,시간협의,"월급1,800,000",02/25
부산 연제구,(주)에치와이,시간협의,"월급1,500,000",02/25
울산 남구,(주)에치와이,시간협의,"월급1,500,000",02/25
부산 해운대,(주)에치와이,시간협의,"월급1,700,000",02/25
부산 해운대,(주)에치와이,시간협의,"월급1,000,000",02/25
부산 해운대,(주)에치와이,시간협의,"월급1,500,000",02/25
부산 연제구,(주)에치와이,시간협의,"월급1,500,000",02/25
부산 해운대,(주)에치와이,시간협의,"월급1,000,000",02/25
부산 남구,(주)에치와이,시간협의,"월급1,200,000",02/25
울산 남구,(주)에치와이,시간협의,"월급1,500,000",02/25
부산 금정구,(주)에치와이,시간협의,"월급1,200,000",02/25
부산 기장군,(주)에치와이,시간협의,"월급1,000,000",02/25
부산 영도구,(주)에치와이,시간협의,"월급1,200,000",02/25
부산 해운대,(주)에치와이,시간협의,"월급1,500,000",02/25
부산 동구,(주)에치와이,시간협의,"월급1,800,000",02/25
부산 동구,(주)에치와이,시간협의,"월급1,800,000",02/25
부산 부산진,(주)에치와이,시간협의,"월급1,000,000",02/25
서울 중랑구,hy 중화점,시간협의,"월급2,000,000",02/25
부산 사하구,(주)에치와이,시간협의,"월급1,600,000",02/25
부산 사하구,(주)에치와이,시간협의,"월급1,600,000",02/25
부산 사상구,(주)에치와이,시간협의,"월급1,600,000",02/25
부산 해운대,(주)에치와이,시간협의,"월급2,000,000",02/25
부산 수영구,(주)에치와이,시간협의,"월급1,200,000",02/25
부산 사상구,(주)한국야쿠르트,06:00~13:00,"월급2,000,000",02/25
부산 중구,(주)에치와이,08:00~15:00,"월급1,670,000",02/25
부산 서구,(주)에치와이,08:00~15:00,"월급1,670,000",02/25
부산 동구,(주)에치와이,08:00~15:00,"월급1,670,000",02/25
부산 남구,(주)한국야쿠르트 문현점,08:30~12:30,"월급1,822,480",02/25
경남 양산시,(주)에치와이,06:30~10:30,"월급1,400,000",02/25
부산 연제구,(주)에치와이,시간협의,"월급1,500,000",02/25
서울 종로구,(주)에치와이 강서지점,시간협의,"월급2,000,000",02/25
서울 종로구,(주)에치와이 강서지점,시간협의,"월급2,000,000",02/25
경기 파주시,(주)에치와이 강서지점,시간협의,"월급2,000,000",02/25
