place,title,time,pay,date
서울 중구,나이키 신세계 본점,09:30~20:00,"월급2,080,000",1시간전
경기 고양시,(주)대연,14:00~22:00,"시급9,200",1시간전
경기 부천시,부천스타필드나이키,10:00~22:00,"월급2,160,000",2시간전
대전 서구,갤러리아타임월드 나이키,00:00~22:00,"시급9,200",2시간전
경기 시흥시,대연 경기시흥,10:00~21:00,"월급2,130,000",3시간전
광주 서구,광주세정,10:30~21:00,"월급2,080,000",3시간전
경기 성남시,대연-나이키공식판매점 성남점,11:00~22:00,"월급2,130,000",4시간전
경기 부천시,부천스타필드나이키,10:00~22:00,"월급2,160,000",4시간전
경기 부천시,나이키 부천점,11:00~22:00,"월급2,130,000",5시간전
서울 마포구,대연 조던 홍대,11:00~22:30,"월급2,200,000",5시간전
경남 진주시,대연 갤러리아진주점,09:30~20:00,"월급2,080,000",5시간전
광주 서구,광주세정,10:30~21:00,"월급2,080,000",6시간전
서울 영등포,(주)대연,시간협의,"시급9,200",6시간전
경기 전체,스타필드 하남 나이키,10:00~20:00,"월급2,160,000",6시간전
경기 하남시,대연 하남RN,시간협의,"월급2,160,000",7시간전
경기 하남시,대연 하남RN,시간협의,"월급2,160,000",8시간전
충남 천안시,신세계 천안아산점,13:00~20:00,"시급9,160",9시간전
서울 영등포,대연 더현대서울,13:00~20:30,"시급9,200",12시간전
경기 수원시,(주)대연,시간협의,"시급9,160",13시간전
강원 원주시,대연 원주타운,10:30~21:30,"월급2,130,000",02/26
경기 성남시,대연-나이키공식판매점 성남점,11:00~22:00,"월급2,130,000",02/26
대구 전체,신세계대구,10:00~20:30,"월급2,080,000",02/26
서울 전체,스타필드 하남 나이키,10:00~20:00,"월급2,160,000",02/26
경기 이천시,경기 이천점 나이키,10:00~21:00,"월급2,130,000",02/26
서울 마포구,대연 조던 홍대,11:00~22:30,"월급2,200,000",02/25
경기 부천시,부천스타필드나이키,10:00~22:00,"월급2,160,000",02/25
서울 영등포,(주)대연,09:30~20:00,"월급2,080,000",02/25
경기 전체,스타필드 하남 나이키,10:00~20:00,"월급2,160,000",02/25
경기 고양시,(주)대연,시간협의,"월급2,160,000",02/24
충남 천안시,신세계 천안아산점,09:30~20:00,"월급2,080,000",02/24
경기 수원시,(주)대연,시간협의,"시급9,160",02/24
충남 천안시,신세계 천안아산점,09:30~20:00,"월급2,080,000",02/23
경기 수원시,(주)대연,시간협의,"시급9,160",02/23
경남 김해시,신세계 김해,10:00~20:30,"월급2,080,000",02/23
인천 부평구,부평,10:30~22:00,"월급2,130,000",02/22
경기 수원시,(주)대연,10:00~20:00,"월급2,080,000",02/22
충남 천안시,신세계 천안아산점,09:30~20:00,"월급2,080,000",02/22
강원 원주시,(주)대연,10:30~21:30,"월급2,130,000",02/22
경기 안성시,(주)대연,10:00~22:00,"월급2,160,000",02/21
부산 해운대,신세계 센텀,10:00~20:30,"월급2,080,000",02/21
