place,title,time,pay,date
서울 송파구,박앤박 혼밥대왕 서울문정점,08:00~14:00,"월급2,000,000",23분전
서울 마포구,박앤박 혼밥대왕 홍대점,10:00~22:00,"일급132,000",3시간전
서울 마포구,박앤박 혼밥대왕 홍대점,22:00~10:00,"시급11,000",4시간전
서울 전체,박앤박 혼밥대왕 방배점,21:30~03:30,"시급11,000",4시간전
서울 전체,박앤박 혼밥대왕 방배점,21:30~03:30,"시급11,000",4시간전
경기 화성시,박앤박 혼밥대왕 강릉옥천점,17:00~22:30,"시급11,000",6시간전
인천 서구,박앤박 혼밥대왕 인천검단점,시간협의,"월급2,700,000",7시간전
서울 전체,박앤박 혼밥대왕 방배점,21:30~03:30,"시급11,000",02/25
충북 증평군,박앤박 혼밥대왕 증평점,10:00~22:00,"시급9,500",02/23
충북 증평군,박앤박 혼밥대왕 증평점,10:00~22:00,"시급9,500",02/23
서울 강남구,박앤박 혼밥대왕 논현점,10:00~15:00,"시급10,000",02/22
서울 강남구,박앤박 혼밥대왕 논현점,10:00~15:00,"시급10,000",02/22
충남 천안시,박앤박 혼밥대왕 천안불당점,10:00~03:00,"시급9,200",02/21
서울 강남구,박앤박 혼밥대왕 논현점,10:00~15:00,"시급10,000",02/18
서울 강남구,박앤박 혼밥대왕 논현점,10:00~15:00,"시급10,000",02/18
서울 강남구,박앤박 혼밥대왕 논현점,10:00~15:00,"시급10,000",02/18
