place,title,time,pay,date
경기 의정부,생각대로 의정부1팀,시간협의,"일급9,160",1분전
경기 고양시,생각대로 장항점,시간협의,"월급5,000,000",5분전
서울 은평구,생각대로 FDP_은평2점,시간협의,"월급400,000",15분전
서울 은평구,생각대로 FDP_은평2점,시간협의,"월급400,000",15분전
대전 중구,생각대로 DC-1,시간협의,"일급200,000",18분전
대전 중구,생각대로 DC-1,시간협의,"일급200,000",18분전
대전 중구,생각대로 DC-1,시간협의,"일급200,000",18분전
대전 중구,생각대로 대전-1,시간협의,"시급200,000",18분전
대전 중구,생각대로 대전-1,시간협의,"시급200,000",18분전
대전 유성구,생각대로 중구점-2,시간협의,"일급200,000",18분전
대전 유성구,생각대로 중구점-2,시간협의,"일급200,000",18분전
대전 유성구,생각대로 중구점-2,시간협의,"일급200,000",18분전
대전 서구,생각대로 대전-1,시간협의,"일급200,000",19분전
대전 서구,생각대로 대전-1,시간협의,"일급200,000",19분전
대전 서구,생각대로 대전-1,시간협의,"일급250,000",19분전
대전 서구,생각대로 대전-1,시간협의,"일급250,000",19분전
대전 동구,생각대로 대전-1,시간협의,"일급200,000",19분전
대전 동구,생각대로 대전-1,시간협의,"일급200,000",19분전
대전 동구,생각대로 대전-1,시간협의,"일급200,000",19분전
대전 동구,생각대로 대전지원센타,10:00~24:00,"월급5,000,000",19분전
대전 동구,생각대로 대전지원센타,10:00~24:00,"월급5,000,000",19분전
대전 중구,생각대로 대전지원센타,10:00~24:00,"월급3,000,000",20분전
대전 중구,생각대로 대전지원센타,10:00~24:00,"월급3,000,000",20분전
대전 중구,생각대로 대전지원센타,10:00~24:00,"월급3,000,000",20분전
서울 관악구,생각대로 신림지사,시간협의,"일급250,000",25분전
서울 관악구,생각대로 신림지사,시간협의,"일급250,000",26분전
부산 금정구,생각대로 TF금정구,시간협의,"건별3,500",30분전
인천 미추홀,생각대로 용현FDC,10:00~03:00,"일급200,000",33분전
대전 서구,생각대로 관저점,시간협의,"일급200,000",33분전
경기 김포시,생각대로 김포사우직영점,09:00~03:00,"건별4,100",33분전
대전 서구,생각대로 관저점,시간협의,"일급200,000",33분전
대구 달성군,생각대로 현풍지부,시간협의,"일급180,000",35분전
대구 달성군,생각대로 현풍지부,10:00~01:00,"일급180,000",35분전
대구 달성군,생각대로 구지점,09:00~01:00,"일급180,000",36분전
대구 달성군,생각대로 구지점,09:00~01:00,"일급180,000",37분전
대구 달성군,생각대로 구지점,09:00~01:00,"일급180,000",37분전
대구 달성군,생각대로 제이에스JS,09:00~01:00,"일급180,000",38분전
대구 달성군,생각대로 제이에스JS,09:00~02:00,"일급180,000",38분전
대구 달성군,생각대로 제이에스JS,09:00~02:00,"일급180,000",38분전
대전 서구,생각대로 가수원점,시간협의,"일급150,000",41분전
