place,title,time,pay,date
서울 영등포,신세계백화점 타임스퀘어점,10:30~18:30,"시급9,200",2분전
경기 용인시,신세계 경기점,10:30~18:30,"시급9,200",30분전
대구 동구,신세계백화점 대구점,09:30~17:30,"시급9,200",50분전
대구 동구,신세계 백화점 대구점,11:00~19:00,"시급9,200",52분전
부산 해운대,신세계백화점 센텀시티점,11:00~19:00,"시급9,200",1시간전
경기 용인시,신세계 경기점,10:30~18:30,"시급9,200",4시간전
경남 김해시,신세계백화점 김해점,11:00~19:00,"시급9,200",4시간전
서울 서초구,신세계 본사,시간협의,"시급9,200",7시간전
경남 김해시,신세계백화점 김해점,11:00~19:00,"시급9,200",9시간전
경기 용인시,신세계 경기점,10:30~18:30,"시급9,200",10시간전
대전 전체,대전신세계 Art&Science,10:30~18:30,"시급9,200",20시간전
서울 영등포,신세계백화점 타임스퀘어점,10:30~18:30,"시급9,200",02/26
서울 서초구,신세계백화점 강남점,11:30~19:30,"시급9,200",02/26
대전 전체,대전신세계 Art&Science,10:30~18:30,"시급9,200",02/26
서울 서초구,신세계백화점 강남점,10:30~18:30,"시급9,200",02/26
광주 서구,신세계백화점 광주점,10:30~18:30,"시급9,200",02/26
서울 서초구,신세계백화점 강남점,10:30~20:00,"시급9,200",02/25
경기 용인시,신세계 경기점,10:30~18:30,"시급9,200",02/25
서울 영등포,신세계백화점 타임스퀘어점,10:30~18:30,"시급9,200",02/25
대구 동구,신세계 백화점 대구점,11:00~19:00,"시급9,200",02/22
서울 서초구,(주)신세계,시간협의,"시급9,200",02/13
