place,title,time,pay,date
대전 대덕구,(주)신세계엘앤비,13:00~21:00,"일급88,000",39분전
대전 서구,(주)신세계엘앤비,13:00~21:00,"일급88,000",39분전
부산 연제구,(주)신세계엘앤비,13:00~21:00,"일급88,000",40분전
부산 동래구,(주)신세계엘앤비,13:00~21:00,"일급88,000",42분전
경기 부천시,(주)신세계엘앤비,13:00~21:00,"일급88,000",45분전
경기 광명시,(주)신세계엘앤비,12:00~20:00,"일급88,000",46분전
경기 부천시,(주)신세계엘앤비,12:00~20:00,"일급88,000",47분전
서울 금천구,(주)신세계엘앤비,12:00~20:00,"일급88,000",48분전
충북 청주시,(주)신세계엘앤비,13:00~21:00,"일급88,000",50분전
충북 청주시,(주)신세계엘앤비,13:00~21:00,"일급88,000",50분전
서울 서대문,(주)신세계엘앤비,13:00~21:00,"일급88,000",51분전
서울 은평구,(주)신세계엘앤비,13:00~21:00,"일급88,000",51분전
대구 남구,(주)신세계엘앤비,13:00~21:00,"일급88,000",53분전
경기 과천시,(주)신세계엘앤비,12:00~20:00,"일급88,000",55분전
서울 서초구,(주)신세계엘앤비,12:00~20:00,"일급88,000",55분전
경기 안양시,(주)신세계엘앤비,12:00~20:00,"일급88,000",56분전
광주 서구,(주)신세계엘앤비,13:00~21:00,"일급88,000",57분전
경기 고양시,(주)신세계엘앤비,11:00~19:00,"일급88,000",58분전
경기 고양시,(주)신세계엘앤비,11:00~19:00,"일급88,000",58분전
경기 고양시,(주)신세계엘앤비,11:00~19:00,"일급88,000",58분전
대구 수성구,(주)신세계엘앤비,13:00~21:00,"일급88,000",59분전
서울 구로구,(주)신세계엘앤비,13:00~21:00,"일급88,000",1시간전
서울 영등포,(주)신세계엘앤비,13:00~21:00,"일급88,000",1시간전
서울 마포구,(주)신세계엘앤비,13:00~21:00,"일급88,000",1시간전
서울 서대문,(주)신세계엘앤비,12:00~21:00,"일급105,640",1시간전
서울 용산구,(주)신세계엘앤비,12:00~21:00,"일급105,640",1시간전
경기 용인시,(주)신세계엘앤비,13:00~21:00,"일급88,000",1시간전
경기 용인시,(주)신세계엘앤비,13:00~21:00,"일급88,000",1시간전
광주 남구,(주)신세계엘앤비,13:00~21:00,"일급88,000",3시간전
경북 구미시,(주)신세계엘앤비,13:00~21:00,"일급88,000",3시간전
광주 서구,(주)신세계엘앤비,12:00~20:00,"일급88,000",4시간전
광주 전체,(주)신세계엘앤비,12:00~20:00,"일급88,000",4시간전
경기 성남시,(주)신세계엘앤비,13:00~21:00,"일급88,000",4시간전
경기 성남시,(주)신세계엘앤비,13:00~21:00,"일급88,000",4시간전
대전 유성구,(주)신세계엘앤비,12:00~20:00,"일급88,000",6시간전
대전 중구,(주)신세계엘앤비,12:00~20:00,"일급88,000",6시간전
서울 강남구,(주)신세계엘앤비,12:00~21:00,"일급105,640",6시간전
서울 성동구,(주)신세계엘앤비,12:00~21:00,"일급105,640",6시간전
서울 강남구,(주)신세계엘앤비,10:30~20:30,"시급11,760",6시간전
서울 성동구,(주)신세계엘앤비,10:30~20:30,"시급11,760",6시간전
