place,title,time,pay,date
경북 포항시,에이비씨마트코리아 ST 포항이마트점,10:00~22:00,"월급2,345,680",1분전
경기 수원시,에이비씨마트코리아 ST 서수원이마트점,10:00~22:00,"월급2,464,040",2분전
경기 화성시,에이비씨마트코리아 ST 오산모다아울렛,10:00~22:00,"월급2,464,040",3분전
경북 안동시,에이비씨마트코리아 ST 안동남문점,10:00~21:00,"월급2,345,680",3분전
경기 수원시,에이비씨마트코리아 ST 서수원이마트점,10:00~22:00,"월급2,464,040",5분전
울산 전체,에이비씨마트코리아 GS 울산성남점,10:00~22:00,"월급2,464,040",6분전
경북 안동시,에이비씨마트코리아 ST 안동남문점,10:00~21:00,"월급2,345,680",6분전
전북 익산시,에이비씨마트코리아 ST 익산영등로데오,10:30~21:30,"월급2,345,680",8분전
대구 전체,에이비씨마트코리아 ST 대구월배점,10:30~22:00,"월급2,345,680",12분전
서울 광진구,에이비씨마트코리아 ST 강변테크노마트,09:30~21:00,"월급2,464,040",18분전
서울 광진구,에이비씨마트코리아 ST 강변테크노마트,09:30~21:00,"월급2,464,040",18분전
서울 강동구,에이비씨마트코리아 ST 강변테크노마트,09:30~21:00,"월급2,464,040",19분전
경남 창원시,에이비씨마트코리아 ST 창원경남대점,10:00~22:00,"월급2,345,680",25분전
경기 수원시,에이비씨마트코리아 GS 광교갤러리아점,09:30~20:00,"월급2,464,040",27분전
충북 청주시,에이비씨마트코리아 ST 청주에버세이브,10:00~20:30,"월급2,345,680",28분전
부산 전체,에이비씨마트코리아 ST 서면NC점,10:00~22:00,"월급2,409,080",37분전
부산 전체,에이비씨마트코리아 SP 부산롯데아쿠아,10:00~22:00,"월급2,464,040",38분전
부산 전체,에이비씨마트코리아 ST 서면NC점,10:00~22:00,"월급2,409,080",39분전
경기 화성시,에이비씨마트코리아 ST 수원남문점,10:00~22:00,"월급2,345,680",42분전
경기 부천시,에이비씨마트코리아 ST 부천스타필드시,10:00~22:00,"월급2,464,040",43분전
대구 달서구,에이비씨마트코리아 ST 대구성서점,10:30~21:30,"월급2,345,680",45분전
경기 전체,에이비씨마트코리아 ST 용인블루키라붐,10:00~22:00,"월급2,345,680",53분전
제주 제주시,에이비씨마트코리아 GS 제주칠성점,10:00~22:00,"월급2,464,040",54분전
제주 제주시,에이비씨마트코리아 GS 제주칠성점,10:00~22:00,"월급2,464,040",57분전
경북 구미시,에이비씨마트코리아 ST 구미원평점,10:30~21:30,"월급2,345,680",1시간전
대구 수성구,에이비씨마트코리아 ST 대구신매점,12:00~21:00,"월급1,529,720",1시간전
서울 송파구,에이비씨마트코리아 ST 가든파이브현대,11:30~20:30,"시급9,160",1시간전
서울 중랑구,에이비씨마트코리아 ST 중랑점,10:00~22:00,"월급2,464,040",1시간전
경기 전체,에이비씨마트코리아 ST 수원영통점,10:00~22:00,"월급2,460,000",1시간전
경기 수원시,에이비씨마트코리아 GS 광교갤러리아점,09:30~20:00,"월급2,464,040",1시간전
경기 화성시,에이비씨마트코리아 KM 동탄레이크꼬모,10:00~22:00,"월급2,464,040",1시간전
부산 전체,에이비씨마트코리아 SP 부산롯데아쿠아,10:00~22:00,"월급2,464,040",1시간전
충북 청주시,에이비씨마트코리아 GS 청주성안점,10:00~22:00,"월급2,345,680",1시간전
경기 화성시,에이비씨마트코리아 KM 동탄레이크꼬모,10:00~22:00,"월급2,464,040",1시간전
경기 수원시,에이비씨마트코리아 MS 광교롯데아울렛,10:30~21:00,"월급2,464,040",1시간전
경기 화성시,에이비씨마트코리아 ST 화성봉담점,10:00~21:00,"월급2,464,040",1시간전
경남 통영시,에이비씨마트코리아 ST 통영무전점,12:00~21:00,"월급1,529,720",1시간전
경기 수원시,에이비씨마트코리아 GS 광교갤러리아점,11:00~20:00,"월급1,529,720",1시간전
제주 제주시,에이비씨마트코리아 MS 신제주연동점,11:00~23:00,"월급2,464,040",2시간전
대구 달서구,에이비씨마트코리아 ST 대구성서점,10:30~21:30,"월급2,345,680",2시간전
