place,title,time,pay,date
인천 미추홀,디플러스 미르본사,시간협의,"일급200,000",1시간전
인천 미추홀,디플러스 미르본사,시간협의,"일급200,000",3시간전
인천 부평구,디플러스 부평4동지사,시간협의,"건별4,000",3시간전
인천 부평구,디플러스 부평4동지사,시간협의,"건별4,000",3시간전
서울 강동구,디플러스 천호지사,시간협의,"일급9,160",3시간전
서울 강동구,디플러스 천호지사,시간협의,"일급300,000",3시간전
경기 하남시,디플러스 미사지사,시간협의,"월급5,000,000",4시간전
경기 하남시,디플러스 미사지사,시간협의,"월급5,000,000",4시간전
인천 미추홀,디플러스 미르본사,시간협의,"일급200,000",5시간전
경기 하남시,디플러스 미사S지사,시간협의,"월급5,000,000",5시간전
경기 하남시,디플러스 미사S지사,시간협의,"월급5,000,000",5시간전
경기 하남시,디플러스 미사S지사,시간협의,"월급5,000,000",5시간전
서울 강동구,디플러스 길동지사,09:00~05:00,"건별4,500",6시간전
서울 강동구,디플러스 길동지사,09:00~05:00,"건별4,500",6시간전
서울 강동구,디플러스 강동본부,시간협의,"건별4,500",6시간전
서울 강동구,디플러스 강동본부,시간협의,"건별4,500",6시간전
서울 강동구,디플러스 암사지사,시간협의,"건별4,500",6시간전
서울 강동구,디플러스 암사지사,시간협의,"건별4,500",6시간전
서울 강동구,디플러스 암사지사,시간협의,"건별4,500",6시간전
서울 강동구,디플러스 플러스천호지사,09:00~05:00,"건별4,500",6시간전
서울 강동구,디플러스 플러스천호지사,09:00~05:00,"건별4,500",6시간전
서울 강동구,디플러스 플러스명일지사,시간협의,"월급4,500,000",6시간전
서울 강동구,디플러스 플러스명일지사,시간협의,"월급4,500,000",6시간전
서울 강동구,디플러스 플러스명일지사,시간협의,"월급4,500,000",6시간전
서울 강동구,디플러스 고덕1지사,시간협의,"월급4,500,000",6시간전
서울 강동구,디플러스 고덕1지사,시간협의,"월급4,500,000",6시간전
부산 금정구,디플러스 부산금정지사,시간협의,"일급180,000",02/26
부산 금정구,디플러스 부산금정지사,시간협의,"일급180,000",02/26
서울 강동구,디플러스 둔촌지사,시간협의,"건별4,500",02/26
서울 강동구,디플러스 둔촌지사,시간협의,"건별4,500",02/26
서울 강동구,디플러스 둔촌지사,시간협의,"건별4,500",02/26
서울 강동구,디플러스 명일지사,시간협의,"월급6,000,000",02/24
서울 강동구,디플러스 명일지사,시간협의,"월급6,000,000",02/24
경남 양산시,디플러스 양산(물금)지사,시간협의,"월급5,000,000",02/21
경남 양산시,디플러스 양산(물금)지사,시간협의,"건별3,500",02/21
경남 양산시,디플러스 양산(중부)지사,시간협의,"월급5,000,000",02/21
경기 하남시,디플러스 미사중앙지사,시간협의,"월급5,000,000",02/20
인천 미추홀,디플러스 인천행복드림콜지사,시간협의,"월급5,000,000",02/20
인천 미추홀,디플러스 인천행복드림콜지사,시간협의,"월급5,000,000",02/19
대구 서구,디플러스 빨리와대구지사,시간협의,"건별3,500",02/17
