place,title,time,pay,date
경기 김포시,플레이타임그룹 카림에비뉴 김포점 플레,시간협의,"시급9,160",2분전
경기 김포시,플레이타임그룹 카림에비뉴 김포점 플레,시간협의,"시급9,160",2분전
경기 김포시,플레이타임그룹 카림에비뉴 김포점 플레,시간협의,"시급9,160",2분전
경기 김포시,플레이타임그룹 카림에비뉴 김포점 플레,시간협의,"시급9,160",3분전
경기 화성시,플레이타임그룹 센터포인트몰 동탄점 챔,시간협의,"시급9,660",16분전
경기 화성시,플레이타임그룹 센터포인트몰 동탄점 챔,시간협의,"시급9,660",16분전
경기 화성시,플레이타임그룹 센터포인트몰 동탄점 챔,시간협의,"시급9,660",16분전
경기 화성시,플레이타임그룹 센터포인트몰 동탄점 챔,시간협의,"시급9,660",16분전
경남 창원시,플레이타임그룹 롯데마트 양덕점 챔피언,13:00~17:30,"시급9,160",2시간전
경기 수원시,플레이타임그룹 아이파크몰 광교L포트점,시간협의,"시급9,160",3시간전
경기 수원시,플레이타임그룹 아이파크몰 광교L포트점,시간협의,"시급9,160",3시간전
경기 수원시,플레이타임그룹 아이파크몰 광교L포트점,시간협의,"시급9,160",3시간전
경기 수원시,플레이타임그룹 아이파크몰 광교L포트점,시간협의,"시급9,160",3시간전
제주 서귀포,플레이타임그룹 롯데호텔 제주중문점 챔,시간협의,"시급9,660",3시간전
제주 서귀포,플레이타임그룹 롯데호텔 제주중문점 챔,시간협의,"시급9,660",3시간전
제주 서귀포,플레이타임그룹 롯데호텔 제주중문점 챔,시간협의,"시급9,660",3시간전
제주 서귀포,플레이타임그룹 롯데호텔 제주중문점 챔,시간협의,"시급9,660",3시간전
서울 용산구,플레이타임그룹 아이파크몰 용산점 챔피,시간협의,"시급9,160",4시간전
서울 용산구,플레이타임그룹 아이파크몰 용산점 챔피,시간협의,"시급9,160",4시간전
서울 용산구,플레이타임그룹 아이파크몰 용산점 챔피,시간협의,"시급9,160",4시간전
서울 용산구,플레이타임그룹 아이파크몰 용산점 챔피,시간협의,"시급9,160",4시간전
전남 여수시,플레이타임그룹 메가박스 여수웅천점 플,시간협의,"시급9,160",7시간전
전남 여수시,플레이타임그룹 메가박스 여수웅천점 플,시간협의,"시급9,160",7시간전
전남 여수시,플레이타임그룹 메가박스 여수웅천점 플,시간협의,"시급9,160",7시간전
전남 여수시,플레이타임그룹 메가박스 여수웅천점 플,시간협의,"시급9,160",7시간전
경기 하남시,플레이타임그룹 스타필드 하남점 챔피언,시간협의,"시급9,660",7시간전
경기 하남시,플레이타임그룹 스타필드 하남점 챔피언,시간협의,"시급9,660",7시간전
경기 하남시,플레이타임그룹 스타필드 하남점 챔피언,시간협의,"시급9,660",7시간전
경기 하남시,플레이타임그룹 스타필드 하남점 챔피언,시간협의,"시급9,660",7시간전
경남 창원시,플레이타임그룹 롯데마트 양덕점 챔피언,13:00~17:30,"시급9,160",8시간전
경기 이천시,플레이타임그룹 롯데아울렛 이천점 챔피,13:30~19:00,"시급9,660",8시간전
경기 이천시,플레이타임그룹 롯데아울렛 이천점 챔피,13:30~19:00,"시급9,660",8시간전
경기 이천시,플레이타임그룹 롯데아울렛 이천점 챔피,13:30~19:00,"시급9,660",8시간전
경기 이천시,플레이타임그룹 롯데아울렛 이천점 챔피,13:30~19:00,"시급9,660",8시간전
대전 유성구,플레이타임그룹 현대아울렛 대전점 챔피,시간협의,"시급9,160",02/26
대전 유성구,플레이타임그룹 현대아울렛 대전점 챔피,시간협의,"시급9,160",02/26
대전 유성구,플레이타임그룹 현대아울렛 대전점 챔피,시간협의,"시급9,160",02/26
대전 유성구,플레이타임그룹 현대아울렛 대전점 챔피,시간협의,"시급9,160",02/26
경기 군포시,플레이타임그룹 롯데피트인 산본점 챔피,시간협의,"시급9,160",02/26
경기 군포시,플레이타임그룹 롯데피트인 산본점 챔피,시간협의,"시급9,160",02/26
