place,title,time,pay,date
경기 김포시,현대프리미엄아울렛 김포점,10:00~19:30,"시급9,200",30분전
경기 고양시,한무쇼핑(주) 킨텍스점,시간협의,"시급9,200",31분전
서울 동대문,현대시티아울렛 동대문점,10:00~18:00,"시급9,200",31분전
서울 강남구,현대백화점,11:00~18:00,"시급9,200",1시간전
서울 구로구,현대백화점 디큐브시티,10:30~19:30,"월급1,964,600",1시간전
경기 부천시,현대백화점 중동점,12:00~18:00,"시급9,200",1시간전
경기 부천시,현대백화점 중동점,12:00~18:00,"시급9,200",1시간전
서울 동대문,현대시티아울렛 동대문점,10:00~18:00,"시급9,200",1시간전
대전 전체,현대백화점 현대프리미엄아울렛 대전점,10:00~19:30,"시급9,200",2시간전
서울 구로구,현대백화점 디큐브시티,11:00~18:00,"시급9,200",2시간전
서울 구로구,현대백화점 디큐브시티,10:30~20:00,"시급9,200",2시간전
서울 전체,현대백화점 현대시티몰 가든파이브점,10:00~18:00,"시급9,200",2시간전
서울 강남구,현대백화점,09:30~18:30,"시급10,000",2시간전
서울 강남구,현대백화점,10:00~20:30,"시급9,200",2시간전
서울 금천구,(주)현대백화점,09:00~18:30,"시급9,399",2시간전
서울 구로구,현대백화점 디큐브시티,11:00~21:00,"시급9,200",3시간전
경기 부천시,현대백화점 중동점,12:00~18:00,"시급9,160",3시간전
인천 연수구,현대백화점 송도아울렛,10:00~19:30,"시급9,200",3시간전
경기 부천시,현대백화점 중동점,10:00~19:30,"시급9,200",3시간전
충북 청주시,현대백화점 충청점,12:00~19:00,"시급9,200",3시간전
서울 양천구,한무쇼핑(주),12:30~19:00,"시급9,400",3시간전
서울 양천구,한무쇼핑(주),10:30~19:00,"시급9,200",4시간전
경기 성남시,현대백화점 판교점,10:00~19:00,"시급9,200",4시간전
경기 성남시,현대백화점 판교점,10:00~20:00,"시급9,200",4시간전
경기 성남시,현대백화점 판교점,10:00~20:30,"시급9,200",4시간전
경기 성남시,현대백화점 판교점,10:00~19:30,"시급9,200",4시간전
경기 성남시,현대백화점 판교점,10:00~20:30,"시급9,200",4시간전
서울 강남구,현대백화점 무역센터점,10:00~19:00,"시급9,200",9시간전
울산 남구,현대백화점,10:00~20:00,"시급9,200",02/26
서울 강동구,현대백화점 천호점,11:00~18:00,"시급9,200",02/26
충북 청주시,현대백화점 충청점,09:00~18:30,"시급9,200",02/26
경기 남양주,남양주 현대아울렛,10:00~19:30,"시급9,200",02/26
경기 부천시,현대백화점 중동점,12:00~20:00,"시급9,200",02/25
서울 구로구,현대백화점 디큐브시티,11:00~18:00,"시급9,200",02/24
서울 영등포,더현대서울,10:00~19:30,"시급9,680",02/22
충북 청주시,현대백화점 충청점,09:00~18:30,"시급9,200",02/19
경기 성남시,현대백화점 판교점,09:30~18:30,"시급9,200",02/12
경기 남양주,현대프리미엄아울렛 SPACE1,10:30~20:00,"시급9,200",02/11
