place,title,time,pay,date
부산 부산진,홍대개미 롯대백화점 부산본점,09:00~20:00,"월급2,250,000",20분전
서울 노원구,홍대개미 노원점,12:00~20:00,"시급9,160",1시간전
서울 노원구,홍대개미 노원점,10:00~20:00,"월급1,950,000",1시간전
광주 서구,홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,250,000",1시간전
서울 노원구,홍대개미 노원점,12:00~20:00,"시급9,160",2시간전
서울 노원구,홍대개미 노원점,10:00~20:00,"월급1,950,000",2시간전
경기 안산시,홍대개미,시간협의,"시급9,160",2시간전
경기 안산시,홍대개미,시간협의,"시급9,160",2시간전
광주 서구,홍대개미상무점,시간협의,"월급2,000,000",3시간전
경기 안산시,홍대개미,시간협의,"시급9,160",3시간전
경기 안산시,홍대개미,시간협의,"시급9,160",3시간전
광주 서구,홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,250,000",4시간전
광주 서구,홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,250,000",4시간전
경기 수원시,홍대개미 갤러리아 광교 직영점,11:00~20:00,"월급1,950,000",4시간전
광주 서구,홍대개미상무점,시간협의,"월급2,000,000",4시간전
서울 광진구,홍대개미 롯데백화점 스타시티점,12:30~20:30,"시급9,160",5시간전
서울 용산구,홍대개미신세계백화점본점,10:00~20:00,"월급2,250,000",5시간전
서울 성북구,홍대개미청량리역사점,11:30~21:30,"월급2,250,000",6시간전
서울 중랑구,홍대개미청량리역사점,11:30~21:30,"월급2,250,000",6시간전
부산 북구,홍대개미 덕천점,18:00~22:00,"시급9,160",6시간전
부산 사하구,[홍대개미] 부산 아트몰링점 오픈,시간협의,"시급9,160",6시간전
부산 사하구,[홍대개미] 부산 아트몰링점 오픈,시간협의,"월급2,250,000",6시간전
부산 북구,홍대개미 덕천점,18:00~22:00,"시급9,160",6시간전
서울 용산구,[홍대개미] 용산아이파크몰점 오픈,시간협의,"월급2,250,000",6시간전
경기 화성시,[홍대개미] 타임스퀘어 동탄점 오픈,시간협의,"월급2,250,000",6시간전
서울 도봉구,홍대개미신세계백화점본점,10:00~20:00,"월급2,250,000",7시간전
서울 광진구,홍대개미 롯데백화점 스타시티점,12:30~20:30,"시급9,160",7시간전
광주 서구,홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,250,000",7시간전
서울 노원구,홍대개미청량리역사점,11:30~21:30,"월급2,250,000",7시간전
부산 부산진,홍대개미 롯대백화점 부산본점,09:00~20:00,"월급2,250,000",7시간전
부산 부산진,홍대개미 롯대백화점 부산본점,09:00~20:00,"월급2,250,000",7시간전
대구 수성구,홍대개미 대구신세계백화점,09:00~20:00,"월급2,250,000",8시간전
대구 수성구,홍대개미 대구신세계백화점,09:00~20:00,"월급2,250,000",8시간전
대구 수성구,홍대개미 대구신세계백화점,09:00~20:00,"월급2,250,000",8시간전
대구 수성구,홍대개미 대구신세계백화점,09:00~20:00,"월급2,250,000",8시간전
부산 부산진,홍대개미 롯대백화점 부산본점,09:00~20:00,"월급2,250,000",8시간전
광주 서구,홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,250,000",13시간전
서울 강북구,홍대개미신세계백화점본점,10:00~20:00,"월급2,250,000",13시간전
경기 안성시,홍대개미스타필드안성,17:00~22:00,"시급9,500",02/26
경기 안성시,홍대개미스타필드안성,17:00~22:00,"시급9,500",02/26
