place,title,time,pay,date
경남 창원시,1970새마을포차 마산합성점,시간협의,"시급9,300",6시간전
경남 창원시,1970새마을포차 마산합성점,시간협의,"시급9,300",6시간전
전북 전주시,1970새마을포차 전주신시가지점,18:00~06:00,"시급9,200",6시간전
전북 전주시,1970새마을포차 전주신시가지점,18:00~06:00,"시급9,200",6시간전
경남 창원시,1970새마을포차 창원상남점,시간협의,"시급10,500",6시간전
경남 창원시,1970새마을포차 창원상남점,시간협의,"시급10,500",6시간전
경남 창원시,1970새마을포차 창원상남점,시간협의,"시급10,500",6시간전
경남 창원시,1970새마을포차 마산합성점,시간협의,"시급9,300",6시간전
인천 남동구,1970새마을포차 인천구월점,시간협의,"시급9,500",6시간전
인천 남동구,1970새마을포차 인천구월점,시간협의,"시급9,500",6시간전
전북 전주시,1970새마을포차 전주신시가지점,18:00~06:00,"시급9,200",6시간전
전북 전주시,1970새마을포차 전주신시가지점,18:00~06:00,"시급9,200",6시간전
울산 동구,1970새마을포차 울산일산점,17:00~22:00,"시급9,160",6시간전
울산 동구,1970새마을포차 울산일산점,17:00~22:00,"시급9,160",6시간전
울산 동구,1970새마을포차 울산일산점,17:00~22:00,"시급9,160",6시간전
