place,title,time,pay,date
경기 평택시,79대포 평택용이점,18:00~23:00,"시급9,500",2시간전
경기 평택시,79대포 평택용이점,18:00~23:00,"시급9,500",2시간전
경기 평택시,79대포 평택용이점,18:00~23:00,"시급9,500",5시간전
경기 안양시,79대포 안양메가트리아점,시간협의,"월급2,300,000",5시간전
경기 안양시,79대포 안양메가트리아점,시간협의,"월급2,300,000",5시간전
경기 안양시,79대포 안양메가트리아점,시간협의,"월급2,300,000",5시간전
충남 공주시,79대포 공주신관점,시간협의,"월급2,500,000",5시간전
충남 공주시,79대포 공주신관점,시간협의,"월급2,500,000",5시간전
충남 공주시,79대포 공주신관점,시간협의,"월급2,500,000",5시간전
경남 양산시,79대포 양산물금점,시간협의,"월급2,400,000",6시간전
경남 양산시,79대포 양산물금점,시간협의,"월급2,400,000",6시간전
경남 양산시,79대포 양산물금점,시간협의,"시급9,160",6시간전
대구 달서구,79대포 대구대곡점,시간협의,"시급9,160",6시간전
대구 달서구,79대포 대구대곡점,시간협의,"시급9,160",6시간전
대구 달서구,79대포 대구대곡점,시간협의,"시급9,160",6시간전
경기 평택시,79대포 평택용이점,시간협의,"시급9,500",6시간전
충북 청주시,79대포 청주오창점,16:00~22:00,"시급9,500",6시간전
충북 청주시,79대포 청주오창점,16:00~22:00,"시급9,500",6시간전
충북 청주시,79대포 청주오창점,16:00~22:00,"시급9,500",6시간전
충북 청주시,79대포 청주오창점,16:00~22:00,"월급1,300,000",8시간전
대구 달서구,79대포 대구대곡점,시간협의,"시급9,160",02/24
경남 창원시,79대포 창원회원점,04:00~10:00,"시급10,000",02/19
경남 창원시,79대포 창원회원점,04:00~10:00,"시급10,000",02/19
경남 창원시,79대포 창원회원점,04:00~10:00,"시급10,000",02/19
부산 강서구,79대포 부산명지국제점,시간협의,"시급9,500",02/19
부산 강서구,79대포 부산명지국제점,시간협의,"시급9,500",02/19
경남 창원시,79대포 창원회원점,04:00~10:00,"시급10,000",02/16
부산 강서구,79대포 부산명지국제점,시간협의,"시급9,500",02/15
