place,title,time,pay,date
서울 송파구,7번가피자 오금감일점,17:00~22:30,"시급9,200",16분전
서울 송파구,7번가피자 오금감일점,17:00~22:30,"시급9,200",17분전
경기 수원시,7번가피자 수원정자점,18:00~24:00,"월급1,450,000",27분전
대전 전체,7번가피자 노은점,17:00~23:30,"시급9,160",57분전
서울 노원구,7번가 피자 상계점,10:00~21:00,"월급2,800,000",1시간전
서울 노원구,7번가 피자 상계점,17:00~21:00,"시급11,000",1시간전
서울 강동구,7번가피자 성내점,11:00~22:30,"월급2,650,000",1시간전
대구 동구,7번가피자 반야월점,05:30~10:30,"시급9,160",1시간전
경기 부천시,7번가피자 범박점,시간협의,"시급12,000",2시간전
경기 부천시,7번가피자 범박점,시간협의,"시급12,000",2시간전
서울 강동구,7번가피자 성내점,11:00~22:30,"월급2,650,000",3시간전
대구 전체,7번가피자 신천점,17:00~22:00,"시급9,160",3시간전
대전 서구,7번가피자 관저점,17:00~20:30,"시급13,000",3시간전
충북 전체,7번가피자 충북혁신점,18:00~22:00,"시급9,500",4시간전
전남 광양시,7번가 피자 (중마점),17:00~22:00,"시급9,200",4시간전
서울 노원구,7번가 피자 상계점,11:00~21:00,"주급700,000",4시간전
충북 청주시,7번가피자  용암점,18:00~22:00,"시급9,200",4시간전
서울 송파구,7번가피자 오금감일점,17:00~22:30,"시급9,200",4시간전
서울 송파구,7번가피자 오금감일점,17:00~22:30,"시급9,200",4시간전
서울 송파구,7번가피자 오금감일점,12:00~21:00,"월급2,500,000",4시간전
제주 제주시,7번가피자 제주 애월점,17:00~23:00,"시급9,160",5시간전
충북 청주시,7번가피자  용암점,18:00~22:00,"시급9,200",6시간전
서울 강동구,7번가피자 성내점,11:00~22:30,"월급2,650,000",6시간전
경남 창원시,7번가피자 석동점,17:00~21:00,"시급9,160",6시간전
충북 전체,7번가피자 충북혁신점,18:00~22:00,"시급9,500",7시간전
경기 수원시,7번가피자 정자점,18:00~23:00,"시급9,160",8시간전
서울 동대문,7번가피자 장안점,시간협의,"시급10,500",8시간전
서울 동대문,7번가피자 장안점,시간협의,"시급10,500",8시간전
대전 서구,7번가피자 관저점,17:00~20:30,"시급13,000",8시간전
인천 서구,7번가피자검단점,18:00~21:30,"시급11,000",12시간전
서울 동대문,7번가피자 장안점,시간협의,"시급10,500",23시간전
제주 제주시,7번가피자 제주이도점,시간협의,"월급2,300,000",02/26
경기 광명시,7번가 피자 광명점,시간협의,"시급9,160",02/26
서울 서초구,칠번가피자  서초교대점,11:00~23:00,"시급11,000",02/26
광주 동구,7번가피자 학동점,17:00~23:00,"시급9,160",02/26
경기 부천시,7번가피자 범박점,시간협의,"시급12,000",02/26
전남 목포시,7번가피자포미연산점,시간협의,"시급9,160",02/25
경기 용인시,7번가 피자,18:00~22:00,"주급120,000",02/25
대전 중구,7번가피자태평유천점,시간협의,"시급9,160",02/25
경기 남양주,7번가피자 다산신도시점,시간협의,"시급9,500",02/25
