place,title,time,pay,date
서울 강남구,CU 신사한남점,15:00~22:00,"시급9,160",1분전
대전 동구,CU 대전이스트시티2차점,시간협의,"시급9,160",1분전
경기 수원시,CU 화서진흥점,13:00~17:00,"시급9,160",1분전
강원 강릉시,CU 주문진우신점,12:00~18:00,"시급9,200",1분전
경기 안산시,CU 안산일등점,23:00~09:00,"시급9,160",2분전
경기 화성시,CU 화성반월점,24:00~09:00,"시급9,160",2분전
강원 강릉시,CU 강릉교동광장로점,23:00~07:00,"시급9,160",3분전
대전 서구,CU 대전관저구봉점,19:00~02:00,"시급9,160",3분전
경남 창원시,CU 창원트리비앙점,시간협의,"시급9,160",3분전
강원 강릉시,CU 강릉교동광장로점,23:00~07:00,"시급9,160",3분전
대구 북구,CU 침산청구점,22:00~08:00,"시급9,160",4분전
경남 김해시,CU 김해동상캐슬점,17:00~24:00,"시급9,160",4분전
경남 김해시,CU 김해동상캐슬점,17:00~24:00,"시급9,160",5분전
대전 전체,CU 대전대흥교점,15:00~22:00,"시급9,160",6분전
경기 평택시,CU 송탄장당마을점,16:00~23:00,"시급9,200",6분전
서울 금천구,CU 건영타운점,09:00~14:00,"시급9,160",7분전
인천 서구,CU 청라씨티점,23:30~08:30,"시급9,160",7분전
경기 수원시,CU 수원탑동원룸점,00:00~18:00,"시급9,160",7분전
경남 진주시,CU 진주하대중앙점,20:00~24:00,"시급9,160",7분전
대전 전체,CU 대전대흥교점,15:00~22:00,"시급9,160",7분전
경기 평택시,CU 평택통복중앙점,시간협의,"시급9,160",8분전
경기 수원시,CU 수원이오스점,19:00~23:00,"시급9,160",8분전
인천 서구,CU 검단탑병원점,00:00~07:00,"시급9,160",9분전
서울 노원구,CU 하계문화점,10:00~17:00,"시급9,160",9분전
경기 수원시,CU 수원만석점,07:00~05:00,"시급9,500",9분전
대전 중구,CU 대전옥계대로점,16:00~23:00,"시급9,160",9분전
경기 시흥시,CU 시화MTV점,19:00~07:00,"시급9,160",9분전
대전 중구,CU 대전옥계대로점,16:00~23:00,"시급9,160",10분전
경남 통영시,CU 동피랑벽화마을점,04:00~11:00,"시급9,160",10분전
경기 화성시,CU 병점캐슬점,08:00~16:30,"시급9,160",10분전
제주 제주시,CU 제주화북진남점,22:00~10:00,"시급9,160",10분전
경북 경산시,CU 경산사동팰리스점,12:00~17:00,"시급9,160",10분전
경기 이천시,CU 이천행복점,23:00~07:00,"시급9,160",11분전
경기 평택시,CU E평택휴게소제천방향,15:00~22:00,"시급10,000",11분전
경기 시흥시,CU 신규점,14:30~21:30,"시급9,160",11분전
서울 동작구,CU 노량진드림점,22:00~07:00,"시급9,160",12분전
충남 천안시,CU 천안영성스타점,22:00~08:00,"시급9,160",12분전
경기 하남시,CU 북위례힐스테이트점,23:30~09:30,"시급9,160",12분전
경남 양산시,CU 양산신창비바점,18:00~21:00,"시급9,160",12분전
경기 평택시,CU E평택휴게소제천방향,15:00~22:00,"시급10,000",12분전
