place,title,time,pay,date
서울 용산구,GFFG 클랩피자 한남점,10:30~21:30,"월급2,700,000",21분전
서울 송파구,GFFG 클랩피자 잠실점,10:30~21:30,"월급2,700,000",21분전
서울 강남구,GFFG 클랩피자 청담점,10:30~21:30,"월급2,700,000",22분전
서울 강남구,GFFG 다운타우너 청담점,10:00~21:00,"월급2,700,000",3시간전
서울 강남구,GFFG 다운타우너 청담점,10:00~21:00,"월급2,700,000",3시간전
서울 강남구,GFFG 다운타우너 청담점,10:00~21:00,"월급2,700,000",3시간전
서울 강남구,GFFG 다운타우너 청담점,10:00~21:00,"월급2,700,000",3시간전
서울 마포구,GFFG 다운타우너 연남점,10:00~21:00,"월급2,700,000",3시간전
서울 양천구,GFFG 다운타우너 연남점,10:00~21:00,"월급2,700,000",3시간전
서울 서대문,GFFG 다운타우너 연남점,10:00~21:00,"월급2,700,000",3시간전
서울 서대문,GFFG 다운타우너 연남점,10:00~21:00,"월급2,700,000",3시간전
서울 성동구,GFFG 다운타우너 성수 피치스점,10:00~21:00,"월급2,700,000",3시간전
서울 동대문,GFFG 다운타우너 성수 피치스점,10:00~21:00,"월급2,700,000",3시간전
서울 중랑구,GFFG 다운타우너 성수 피치스점,10:00~21:00,"월급2,700,000",3시간전
제주 제주시,GFFG 다운타우너 제주애월점,09:00~20:00,"월급2,700,000",3시간전
제주 제주시,GFFG 다운타우너 제주애월점,09:00~20:00,"월급2,700,000",3시간전
경기 수원시,GFFG 다운타우너 갤러리아 광교점,09:30~20:30,"월급2,700,000",3시간전
경기 수원시,GFFG 다운타우너 갤러리아 광교점,09:30~20:30,"월급2,700,000",3시간전
경기 용인시,GFFG 다운타우너 갤러리아 광교점,09:30~20:30,"월급2,700,000",3시간전
경기 용인시,GFFG 다운타우너 갤러리아 광교점,09:30~20:30,"월급2,700,000",3시간전
서울 마포구,GFFG 다운타우너 한남점,10:00~21:00,"월급2,700,000",3시간전
서울 성동구,GFFG 다운타우너 한남점,10:00~21:00,"월급2,700,000",3시간전
서울 중구,GFFG 다운타우너 한남점,10:00~21:00,"월급2,700,000",3시간전
서울 송파구,GFFG 다운타우너 잠실점,10:00~21:00,"월급2,700,000",3시간전
서울 강동구,GFFG 다운타우너 잠실점,10:00~21:00,"월급2,700,000",3시간전
서울 송파구,GFFG 다운타우너 잠실점,10:00~21:00,"월급2,700,000",3시간전
서울 송파구,GFFG 다운타우너 잠실점,10:00~21:00,"월급2,700,000",3시간전
서울 동대문,GFFG 다운타우너 안국점,10:00~21:00,"월급2,700,000",3시간전
서울 은평구,GFFG 다운타우너 안국점,10:00~21:00,"월급2,700,000",3시간전
서울 종로구,GFFG 다운타우너 안국점,10:00~21:00,"월급2,700,000",3시간전
서울 강남구,GFFG 웍셔너리 청담점,10:00~22:00,"월급2,700,000",5시간전
서울 강남구,GFFG 웍셔너리 청담점,10:00~22:00,"월급2,700,000",5시간전
서울 성동구,GFFG 웍셔너리 청담점,10:00~22:00,"월급2,700,000",5시간전
서울 강남구,GFFG 키마스시 청담점,시간협의,"월급2,700,000",02/24
서울 강남구,GFFG 애니오케이션 청담점,시간협의,"월급2,700,000",02/24
제주 제주시,GFFG 리틀넥 CK,시간협의,"월급2,700,000",02/24
경기 수원시,GFFG 리틀넥 갤러리아 광교점,시간협의,"월급2,700,000",02/24
서울 송파구,GFFG 리틀넥 잠실점,시간협의,"월급2,700,000",02/24
서울 용산구,GFFG 리틀넥 한남점,시간협의,"월급2,700,000",02/24
서울 강남구,GFFG 리틀넥 청담점,시간협의,"월급2,700,000",02/24
