place,title,time,pay,date
서울 서대문,(주)지에스리테일 랄라블라,10:00~17:00,"시급9,160",51분전
광주 동구,GS리테일 H&B사업부문 충장대로점,16:00~19:30,"시급9,160",2시간전
전남 여수시,(주)지에스리테일,17:00~20:00,"시급9,160",2시간전
경기 김포시,GS리테일 랄라블라 김포구래점,19:00~23:00,"시급9,160",3시간전
경북 포항시,(주)지에스리테일,16:00~19:30,"시급9,160",3시간전
경북 포항시,(주)지에스리테일,10:00~13:30,"시급9,160",3시간전
경기 김포시,GS리테일 랄라블라 김포구래점,19:00~23:00,"시급9,160",3시간전
경기 김포시,GS리테일 랄라블라 김포구래점,10:00~14:30,"시급9,160",3시간전
부산 전체,(주)지에스리테일,10:00~15:00,"시급9,160",4시간전
경기 김포시,GS리테일 랄라블라 김포구래점,10:00~14:30,"시급9,160",4시간전
대전 서구,(주)지에스리테일 랄라블라 둔산스타점,14:00~17:30,"시급9,160",5시간전
경기 수원시,(주)지에스리테일,17:00~22:00,"시급9,160",5시간전
경북 경산시,(주)지에스리테일 랄라블라영남대점,16:00~22:00,"시급9,160",5시간전
충남 천안시,(주)지에스리테일,12:00~15:30,"시급9,160",8시간전
충남 천안시,(주)지에스리테일,12:00~15:30,"시급9,160",8시간전
경기 군포시,(주)지에스리테일,14:00~17:00,"시급9,160",11시간전
경기 군포시,(주)지에스리테일,18:00~22:00,"시급9,160",14시간전
경기 수원시,(주)지에스리테일,17:00~22:00,"시급9,160",02/25
경기 평택시,(주)지에스리테일 랄라블라평택점,15:00~18:30,"시급9,160",02/25
경기 김포시,GS리테일 랄라블라 김포구래점,18:30~23:00,"시급9,160",02/25
경남 진주시,(주)지에스리테일 랄라블라 진주평거점,10:00~15:30,"시급9,160",02/24
경남 진주시,(주)지에스리테일 랄라블라 진주평거점,14:00~19:00,"시급9,160",02/24
경남 진주시,(주)지에스리테일 랄라블라 진주평거점,16:30~22:30,"시급9,160",02/24
서울 마포구,왓슨스 본사,17:00~20:30,"시급9,160",02/24
경남 진주시,(주)GS리테일,17:00~22:00,"시급9,160",02/22
서울 구로구,GS리테일,16:00~23:00,"시급9,160",02/22
부산 전체,(주)지에스리테일,10:00~15:00,"시급9,160",02/22
서울 서대문,(주)지에스리테일 랄라블라,17:00~20:00,"시급9,160",02/21
경기 김포시,GS리테일 랄라블라 김포구래점,18:30~23:00,"시급9,160",02/21
경기 김포시,GS리테일 랄라블라 김포구래점,19:00~23:00,"시급9,160",02/21
서울 전체,GS리테일 랄라블라 건대2호점,11:00~14:00,"시급9,160",02/21
경기 군포시,(주)지에스리테일,16:00~19:00,"시급9,160",02/21
경기 군포시,(주)지에스리테일,15:00~22:00,"시급9,160",02/21
경기 군포시,(주)지에스리테일,15:00~22:00,"시급9,160",02/21
경기 김포시,GS리테일 랄라블라 김포구래점,18:30~23:00,"시급9,160",02/20
서울 구로구,GS리테일,14:00~23:00,"시급9,160",02/20
경기 김포시,GS리테일 랄라블라 김포구래점,19:00~23:00,"시급9,160",02/19
경남 김해시,왓슨스 본사,04:00~07:00,"시급9,160",02/19
인천 전체,(주)지에스리테일 랄라블라 인하대점,11:00~14:30,"시급9,160",02/17
서울 전체,GS리테일 랄라블라 건대2호점,11:00~14:00,"시급9,160",02/16
