place,title,time,pay,date
충남 아산시,KFC 아산터미널,시간협의,"시급9,160",4분전
충남 아산시,KFC 아산터미널,시간협의,"시급9,160",8분전
대구 수성구,KFC 범어네거리,시간협의,"시급9,160",12분전
충북 청주시,KFC 청주오창,시간협의,"시급9,160",16분전
서울 성동구,KFC 왕십리역사,시간협의,"시급9,160",19분전
서울 서초구,KFC 강남고속터미널,17:00~01:00,"시급9,160",27분전
서울 서초구,KFC 강남고속터미널,10:00~17:00,"시급9,160",28분전
경기 구리시,KFC 구리돌다리,시간협의,"시급9,160",1시간전
제주 서귀포,KFC 서귀포중문DT,시간협의,"시급9,160",1시간전
제주 서귀포,KFC 서귀포중문DT,시간협의,"시급9,160",1시간전
경기 수원시,KFC 수원역사1,08:30~22:00,"시급9,160",1시간전
서울 동대문,KFC 청량리역사,11:30~17:00,"시급9,160",1시간전
경기 남양주,KFC 덕소,시간협의,"시급9,160",1시간전
서울 관악구,(주)케이에프씨코리아,10:00~24:00,"시급9,160",1시간전
서울 중랑구,KFC 사가정,시간협의,"시급9,160",1시간전
강원 춘천시,KFC 춘천이마트,시간협의,"시급9,160",1시간전
충북 청주시,KFC 청주사창사거리,시간협의,"시급9,160",1시간전
제주 서귀포,KFC 제주서귀포DI,시간협의,"연봉30,700,000",1시간전
서울 전체,KFC 한국외대,시간협의,"시급9,160",1시간전
제주 서귀포,KFC 제주서귀포DI,시간협의,"시급9,160",1시간전
대구 달서구,KFC 상인네거리,시간협의,"시급9,160",2시간전
경기 평택시,KFC 평택,시간협의,"시급9,160",2시간전
서울 동대문,KFC 청량리역사,11:30~17:00,"시급9,160",2시간전
경기 구리시,KFC 구리돌다리,시간협의,"시급9,160",2시간전
서울 중랑구,KFC 망우동,시간협의,"시급9,160",2시간전
대전 유성구,KFC 유성온천,시간협의,"시급9,160",2시간전
강원 춘천시,KFC 춘천석사,시간협의,"시급9,160",2시간전
강원 춘천시,KFC 춘천석사,시간협의,"시급9,160",2시간전
경기 부천시,KFC 부천중동,17:00~24:00,"시급9,160",2시간전
서울 전체,KFC 한국외대,시간협의,"시급9,160",2시간전
인천 남동구,KFC 인천논현,시간협의,"시급9,160",2시간전
대구 전체,KFC 내당동,시간협의,"시급9,160",2시간전
울산 남구,KFC 울산현대,시간협의,"시급9,160",2시간전
강원 춘천시,KFC 춘천석사,시간협의,"시급9,160",2시간전
강원 춘천시,KFC 춘천석사,시간협의,"시급9,160",2시간전
충북 청주시,KFC 청주사창사거리,시간협의,"시급9,160",2시간전
서울 중랑구,KFC 망우동,시간협의,"시급9,160",3시간전
서울 동대문,KFC 청량리역사,11:30~17:00,"시급9,160",3시간전
서울 노원구,KFC 중계은행사거리,시간협의,"시급9,160",3시간전
서울 영등포,KFC 동여의도,시간협의,"시급9,160",3시간전
