place,title,time,pay,date
경기 평택시,쿱스토어 경기 평택비전점,08:00~03:00,"시급10,000",29분전
서울 강서구,(주)쿱스토어 등촌점,15:00~22:00,"시급10,000",36분전
경기 광명시,(주)농업법인 쿱스토어 소하점,08:00~13:30,"시급10,000",46분전
세종 도담동,자연드림 세종도담점,08:00~14:30,"시급10,000",1시간전
경기 안양시,iCOOP 직/안양평촌점,15:30~21:00,"시급10,000",2시간전
경기 오산시,iCOOP 직/평택오산점2,09:30~15:30,"시급10,000",3시간전
경기 오산시,iCOOP 직/평택오산점2,08:00~10:00,"시급10,000",3시간전
경기 오산시,iCOOP 직/평택오산점2,08:00~10:00,"시급10,000",3시간전
경기 과천시,자연드림 과천별양점,08:00~10:00,"시급10,000",3시간전
전남 여수시,자연드림 여수시청점,08:00~15:00,"시급10,000",3시간전
경북 포항시,쿱스토어대구 포항효자점,07:00~09:00,"시급10,000",3시간전
대구 수성구,쿱스토어대구 황금점,08:30~15:00,"시급10,000",4시간전
광주 동구,자연드림 학동점,08:00~12:00,"시급10,000",5시간전
대구 수성구,쿱스토어대구 범어점,07:00~09:00,"시급10,000",5시간전
부산 해운대,(주)쿱스토어부산 해운대중동점,07:00~09:30,"시급10,000",6시간전
경남 진주시,자연드림 진주초전점,08:00~15:00,"시급10,000",6시간전
강원 원주시,(주)쿱스토어강원 원주혁신점,10:00~14:30,"시급10,000",6시간전
강원 원주시,(주)쿱스토어강원 원주혁신점,10:00~14:30,"시급10,000",7시간전
강원 속초시,(주)쿱스토어강원 속초조양점,시간협의,"시급10,000",7시간전
경기 화성시,동탄호수공원점,08:30~10:30,"시급10,000",7시간전
경기 화성시,동탄호수공원점,08:30~15:00,"시급10,000",7시간전
충북 전체,(주)쿱스토어강원 충주연수점,13:00~21:00,"시급10,000",7시간전
강원 속초시,(주)쿱스토어강원 속초조양점,시간협의,"시급10,000",7시간전
경남 양산시,(주)쿱스토어부산 양산증산점,08:00~15:00,"시급10,000",7시간전
충북 충주시,(주)쿱스토어강원 충주연수점,07:00~09:00,"시급10,000",7시간전
강원 원주시,(주)쿱스토어강원 원주혁신점,10:00~14:30,"시급10,000",7시간전
경기 화성시,(주)쿱스토어경기동남부 능동점,09:00~15:00,"시급10,000",8시간전
서울 광진구,(주)농업법인 쿱스토어 구의점,09:00~12:00,"시급10,000",10시간전
경남 창원시,자연드림 마산내서점,14:30~21:00,"시급10,000",11시간전
경남 김해시,자연드림 김해내동점,08:30~15:00,"시급10,000",12시간전
대구 달서구,쿱스토어대구 월성점,08:30~15:00,"시급10,000",02/26
경기 김포시,자연드림 김포풍무점,07:30~10:00,"시급10,000",02/26
서울 관악구,(주)농업법인쿱스토어 관악점,15:00~22:00,"시급10,000",02/26
강원 춘천시,자연드림 춘천석사점,09:00~18:00,"시급10,000",02/26
경북 상주시,쿱스토어대구 상주복룡점,09:00~15:00,"시급10,000",02/26
경남 전체,(주)쿱스토어경남,09:00~18:00,"연봉31,100,000",02/26
경남 김해시,(주)쿱스토어경남,09:00~18:00,"연봉31,100,000",02/26
충북 전체,(주)쿱스토어강원 충주연수점,13:00~21:00,"시급10,000",02/26
강원 속초시,(주)쿱스토어강원 속초조양점,시간협의,"시급10,000",02/26
부산 강서구,(주)쿱스토어부산 명지국제신도시점,07:30~09:30,"시급10,000",02/26
