place,title,time,pay,date
충북 청주시,경복궁 청주점,10:00~22:00,"월급2,400,000",2시간전
충북 청주시,경복궁 청주점,10:00~22:00,"월급2,700,000",2시간전
충북 청주시,경복궁 청주점,10:00~22:00,"월급2,400,000",2시간전
충북 청주시,경복궁 청주점,10:00~22:00,"월급2,700,000",3시간전
인천 연수구,엔타스 팔진향 한옥마을점,10:00~21:30,"월급2,300,000",02/22
인천 연수구,엔타스 팔진향 한옥마을점,10:00~21:30,"월급2,300,000",02/22
인천 연수구,엔타스 팔진향 한옥마을점,10:00~21:30,"월급2,300,000",02/22
인천 연수구,엔타스 팔진향 한옥마을점,10:00~21:30,"월급2,300,000",02/22
경기 하남시,엔타스 팔진향 하남점,10:00~22:00,"월급2,400,000",02/22
경기 하남시,엔타스 팔진향 하남점,10:00~22:00,"월급2,400,000",02/22
경기 하남시,엔타스 팔진향 하남점,시간협의,"시급13,000",02/22
경기 하남시,엔타스 팔진향 하남점,시간협의,"시급13,000",02/22
경기 성남시,삿뽀로 판교점,10:00~22:00,"월급2,400,000",02/22
경기 성남시,삿뽀로 판교점,10:00~22:00,"월급2,400,000",02/22
경기 성남시,삿뽀로 판교점,10:00~22:00,"월급2,400,000",02/22
경기 성남시,삿뽀로 판교점,10:00~22:00,"월급2,400,000",02/22
부산 해운대,삿뽀로 부산점,시간협의,"월급2,300,000",02/22
부산 해운대,삿뽀로 부산점,시간협의,"월급2,300,000",02/22
부산 해운대,삿뽀로 부산점,시간협의,"월급2,300,000",02/22
서울 종로구,경복궁 관훈점,10:00~22:00,"월급2,400,000",02/22
서울 종로구,경복궁 관훈점,10:00~22:00,"월급2,400,000",02/22
서울 종로구,경복궁 관훈점,10:00~22:00,"월급2,400,000",02/22
부산 해운대,경복궁 부산점,시간협의,"월급2,300,000",02/22
부산 해운대,경복궁 부산점,시간협의,"월급2,300,000",02/22
부산 해운대,경복궁 부산점,시간협의,"월급2,300,000",02/22
