place,title,time,pay,date
경기 안성시,경성주막1929 안성석정점,시간협의,"시급9,500",22분전
경기 안성시,경성주막1929 안성공도,18:00~22:30,"시급9,500",2시간전
경남 진주시,크라운호프 진주혁신점,20:30~01:30,"시급10,000",2시간전
경남 진주시,크라운호프 진주혁신점,19:00~01:00,"시급10,000",2시간전
경기 성남시,경성주막1929 & 크라운호프 성남모,시간협의,"시급10,000",3시간전
인천 남동구,크라운호프 인천시청역점,17:00~22:00,"시급9,500",3시간전
경남 김해시,크라운호프 김해삼계점,시간협의,"시급10,000",3시간전
경기 성남시,경성주막1929 & 크라운호프 성남모,시간협의,"시급10,000",3시간전
전북 익산시,크라운호프 익산모현2호점,19:00~22:30,"시급9,160",3시간전
경북 김천시,크라운호프 김천혁신,17:00~23:00,"시급9,200",4시간전
경북 김천시,크라운호프 김천혁신,17:00~23:00,"시급9,200",4시간전
전북 전주시,크라운호프 전주호성점,16:30~02:00,"월급2,600,000",4시간전
경기 부천시,크라운호프 송내영화의거리,17:30~22:30,"시급9,500",4시간전
경남 진주시,크라운호프 진주혁신점,19:00~01:00,"시급10,000",4시간전
경남 진주시,크라운호프 진주혁신점,20:30~01:30,"시급10,000",4시간전
경기 안양시,크라운호프 관양점,17:00~22:30,"시급9,500",4시간전
경기 시흥시,크라운호프 시흥은계점,시간협의,"시급9,160",5시간전
경기 안성시,경성주막1929 안성공도,18:00~22:30,"시급9,500",5시간전
경기 부천시,크라운호프 송내영화의거리,17:30~22:30,"시급9,500",5시간전
경북 예천군,크라운호프 경북도청호명,16:00~02:30,"월급2,390,000",5시간전
울산 중구,크라운호프 울산병영,18:00~22:00,"시급9,160",5시간전
인천 부평구,크라운호프 인천백운역,16:30~02:30,"시급9,500",6시간전
전남 여수시,크라운호프 여수죽림점,시간협의,"시급9,160",6시간전
경기 안성시,크라운호프 안성석정,시간협의,"시급9,500",6시간전
경기 수원시,크라운호프 수원금곡점,17:00~22:00,"시급9,160",6시간전
경기 수원시,크라운호프 수원역점,시간협의,"시급9,500",7시간전
경기 수원시,크라운호프 수원역점,시간협의,"시급9,500",7시간전
경기 시흥시,크라운호프 시흥장곡점,19:00~01:00,"시급10,000",7시간전
인천 동구,크라운호프 송림점,17:00~22:00,"시급9,500",7시간전
경기 수원시,크라운호프 수원역점,시간협의,"시급9,500",7시간전
제주 제주시,크라운호프 연동점,18:00~01:00,"시급9,500",8시간전
강원 속초시,크라운호프 속초조양,19:00~24:00,"시급10,000",8시간전
전북 익산시,크라운호프 익산영등직영점,17:00~23:00,"시급10,000",8시간전
인천 미추홀,크라운호프 주안북,18:30~22:30,"시급10,000",9시간전
서울 강서구,크라운호프 발산마곡점,16:30~02:30,"월급2,500,000",12시간전
서울 강서구,크라운호프 마곡나루,18:00~24:00,"시급10,000",02/26
경기 고양시,크라운호프 삼송역점,18:00~23:00,"시급10,000",02/26
전북 전주시,크라운호프 전주호성점,시간협의,"시급9,200",02/26
경기 부천시,크라운호프 신중동점,시간협의,"시급9,500",02/26
전북 전주시,크라운호프 전주호성점,16:30~02:00,"월급2,600,000",02/26
