place,title,time,pay,date
서울 구로구,고기극찬 서울 구로,16:00~22:00,"시급10,000",5시간전
서울 구로구,고기극찬 서울 구로,16:00~22:00,"시급10,000",5시간전
서울 구로구,고기극찬 서울 구로,16:00~22:00,"시급10,000",5시간전
서울 구로구,고기극찬 서울 구로,16:00~22:00,"시급10,000",5시간전
경남 창원시,고기극찬 경남 진해,시간협의,"시급9,160",5시간전
경남 창원시,고기극찬 경남 진해,시간협의,"시급9,160",5시간전
경남 창원시,고기극찬 경남 진해,시간협의,"시급9,160",5시간전
경남 창원시,고기극찬 경남 진해,시간협의,"시급9,160",5시간전
경기 오산시,고기극찬 경기 오산,14:00~23:00,"월급2,500,000",5시간전
경기 오산시,고기극찬 경기 오산,14:00~23:00,"월급2,500,000",5시간전
경기 오산시,고기극찬 경기 오산,14:00~23:00,"월급2,500,000",5시간전
서울 서초구,고기극찬 서울 서초,11:00~23:00,"월급2,700,000",5시간전
서울 강남구,고기극찬 서울 서초,10:00~11:30,"월급2,700,000",5시간전
서울 강남구,고기극찬 서울 서초,10:00~11:30,"월급2,700,000",5시간전
서울 서초구,고기극찬 서울 서초,10:00~11:30,"월급2,700,000",5시간전
전북 전주시,고기극찬 전주 덕진,17:00~24:00,"시급9,500",5시간전
전북 전주시,고기극찬 전주 덕진,17:00~24:00,"시급9,500",5시간전
전북 전주시,고기극찬 전주 덕진,17:00~24:00,"시급9,500",5시간전
전북 전주시,고기극찬 전주 덕진,17:00~22:30,"시급9,500",5시간전
경남 창원시,고기극찬 마산 합포,18:00~23:00,"시급9,160",5시간전
경남 창원시,고기극찬 마산 합포,18:00~23:00,"시급9,160",5시간전
경남 창원시,고기극찬 마산 합포,18:00~23:00,"시급9,160",5시간전
경남 창원시,고기극찬 마산 합포,18:00~23:00,"시급9,160",5시간전
서울 구로구,고기극찬 서울 구로,16:00~22:00,"시급10,000",02/16
