place,title,time,pay,date
부산 동래구,교촌치킨 부산 우방신세계,시간협의,"시급10,000",1분전
부산 동래구,교촌치킨 부산 우방신세계,시간협의,"시급10,000",1분전
부산 금정구,교촌치킨 부산 우방신세계,시간협의,"시급10,000",2분전
경기 성남시,교촌치킨 동판교,시간협의,"시급10,000",2분전
경남 진주시,교촌치킨 진주 혁신,시간협의,"월급2,000,000",6분전
경기 여주시,교촌치킨 여주 오학,18:00~23:30,"시급9,200",8분전
부산 동래구,교촌치킨 부산동부 수안점,17:30~23:00,"시급10,500",12분전
경기 안양시,교촌치킨 안양1번가,18:00~24:00,"시급9,500",12분전
경기 화성시,교촌치킨 동탄2산척,17:00~23:00,"시급11,002",18분전
서울 도봉구,교촌치킨 창동,17:30~11:00,"시급9,160",21분전
서울 도봉구,교촌치킨 창동,05:00~23:00,"시급12,000",21분전
서울 도봉구,교촌치킨 창동,22:30~01:00,"시급10,800",21분전
서울 동대문,교촌치킨 서울 시립대,17:00~24:00,"시급9,160",32분전
서울 강동구,교촌치킨 서울동부 명일1호점,17:00~23:30,"시급12,000",32분전
경북 김천시,교촌치킨 김천혁신,16:00~22:00,"시급9,160",36분전
경북 경산시,교촌치킨 경산하양점,17:00~24:00,"시급9,160",38분전
경북 문경시,교촌치킨 점촌,12:00~24:00,"시급9,800",40분전
인천 동구,교촌치킨 송현,18:00~23:00,"시급9,200",40분전
서울 도봉구,교촌치킨 쌍문1호,17:00~23:00,"시급9,160",41분전
경북 문경시,교촌치킨 점촌,12:00~24:00,"시급9,800",41분전
광주 북구,교촌치킨 연제,18:00~00:00,"시급10,500",54분전
경기 성남시,교촌치킨 동판교,시간협의,"시급10,500",55분전
광주 북구,교촌치킨 연제,18:00~00:00,"시급9,500",55분전
경남 창원시,교촌치킨 상남,18:00~01:00,"시급9,200",59분전
부산 해운대,교촌치킨 부산 우동1호,05:00~12:00,"시급12,000",1시간전
서울 양천구,교촌치킨 서울서부 신월1호점,17:00~23:00,"시급11,000",1시간전
서울 양천구,교촌치킨 서울서부 신월1호점,17:00~24:00,"시급11,000",1시간전
서울 양천구,교촌치킨 서울서부 신월1호점,12:00~24:00,"월급3,300,000",1시간전
경남 창원시,교촌치킨 상남,18:00~01:00,"시급10,000",1시간전
경기 하남시,교촌치킨 신장2호,18:00~22:00,"월급550,000",1시간전
경남 창원시,교촌치킨 상남,18:00~01:00,"시급9,200",1시간전
경기 하남시,교촌치킨 신장2호,18:00~22:00,"월급550,000",1시간전
서울 관악구,교촌치킨 서울 봉천4호,18:30~23:30,"시급9,160",1시간전
서울 동대문,교촌치킨 서울시청,시간협의,"시급10,500",1시간전
서울 종로구,교촌치킨 서울시청,시간협의,"시급10,500",1시간전
서울 용산구,교촌치킨 서울시청,시간협의,"시급10,500",1시간전
서울 서대문,교촌치킨 서울시청,시간협의,"시급10,500",1시간전
대구 남구,교촌치킨 대구 이천대봉,17:00~24:00,"시급10,000",1시간전
서울 용산구,교촌치킨 숙대,17:00~22:00,"시급11,000",1시간전
서울 중랑구,교촌치킨 망우본동,18:00~24:00,"시급10,000",1시간전
