place,title,time,pay,date
경기 시흥시,꾸브라꼬숯불두마리치킨 대야점,18:00~23:00,"시급9,500",7시간전
경남 전체,꾸브라꼬숯불두마리치킨 창원nc점,시간협의,"시급9,500",7시간전
경기 화성시,꾸브라꼬숯불두마리치킨 봉담점,05:00~10:00,"시급10,000",7시간전
세종 새롬동,꾸브라꼬숯불두마리치킨 새롬점,18:00~00:00,"시급9,500",7시간전
경기 화성시,꾸브라꼬숯불두마리치킨 봉담점,05:00~10:00,"시급10,000",7시간전
서울 은평구,꾸브라꼬숯불두마리치킨 연신내점,23:30~01:00,"일급20,000",7시간전
경기 의왕시,꾸브라꼬숯불두마리치킨 의왕부곡점,18:00~22:00,"시급10,000",7시간전
서울 은평구,꾸브라꼬숯불두마리치킨 연신내점,23:30~01:00,"일급20,000",02/21
경기 화성시,꾸브라꼬숯불두마리치킨 봉담점,05:00~10:00,"시급10,000",02/18
경기 수원시,꾸브라꼬숯불두마리치킨 수원광교점,15:30~00:30,"월급2,500,000",02/18
세종 새롬동,꾸브라꼬숯불두마리치킨 새롬점,18:00~00:00,"시급9,500",02/18
세종 새롬동,꾸브라꼬숯불두마리치킨 새롬점,18:00~00:00,"시급9,500",02/18
경기 시흥시,꾸브라꼬숯불두마리치킨 대야점,18:00~23:00,"시급9,500",02/17
경기 화성시,꾸브라꼬숯불두마리치킨 봉담점,05:00~10:00,"시급10,000",02/17
경기 수원시,꾸브라꼬숯불두마리치킨 수원광교점,15:30~00:30,"월급2,500,000",02/16
경기 화성시,꾸브라꼬숯불두마리치킨 봉담점,05:00~10:00,"시급10,000",02/15
경남 창원시,꾸브라꼬숯불두마리치킨 경남대점,시간협의,"시급9,500",02/15
대전 서구,꾸브라꼬숯불두마리치킨 관저점,05:00~21:00,"시급9,500",02/15
세종 새롬동,꾸브라꼬숯불두마리치킨 새롬점,18:00~00:00,"시급9,500",02/15
충북 청주시,꾸브라꼬숯불두마리치킨 청주오창,17:00~22:00,"시급9,500",02/15
경기 고양시,꾸브라꼬숯불두마리치킨 삼송점,17:30~24:00,"시급9,500",02/11
