place,title,time,pay,date
경기 수원시,다이소 수원고색점,시간협의,"시급9,160",23분전
경기 오산시,다이소 홈플러스오산점,시간협의,"시급9,160",25분전
서울 관악구,다이소 신림3호점,16:00~22:00,"시급9,160",45분전
서울 관악구,다이소 신림3호점,10:00~19:00,"월급1,914,440",45분전
인천 미추홀,다이소 주안역점,16:00~22:00,"시급9,160",49분전
인천 미추홀,다이소 인천주안역점,16:00~22:00,"시급9,160",50분전
경기 화성시,다이소 화성송산점,10:00~19:00,"월급1,914,440",52분전
경기 광명시,다이소 광명소하점,09:00~18:00,"시급9,160",52분전
경기 수원시,다이소 북수원점,16:00~22:00,"시급9,160",1시간전
서울 광진구,다이소 군자역점,07:00~22:30,"시급9,160",1시간전
경기 김포시,다이소 김포구래점,08:00~17:00,"월급1,914,440",1시간전
제주 서귀포,다이소 홈플러스서귀포점,09:30~22:30,"시급9,160",1시간전
서울 광진구,다이소 건대 입구점,08:00~22:30,"시급9,160",2시간전
강원 춘천시,다이소 춘천거두점,09:00~22:00,"시급9,160",2시간전
강원 춘천시,다이소 춘천후평점,09:00~22:30,"시급9,160",2시간전
강원 춘천시,다이소 춘천소양로점,09:30~22:00,"시급9,160",2시간전
강원 춘천시,다이소 춘천온의점,10:00~22:00,"시급9,160",2시간전
강원 춘천시,다이소 춘천퇴계본점,08:30~22:00,"시급9,160",2시간전
강원 춘천시,다이소 춘천퇴계본점,08:30~17:30,"월급1,914,440",2시간전
인천 미추홀,다이소 주안역점,16:00~22:00,"시급9,160",2시간전
서울 양천구,다이소 신곡시장점,08:00~14:00,"시급9,160",2시간전
서울 관악구,다이소 신림역1호점,16:00~22:00,"시급9,160",2시간전
경기 평택시,다이소 평택역점,시간협의,"월급1,914,440",2시간전
경기 오산시,오산원동점,시간협의,"월급1,914,440",2시간전
인천 서구,다이소 인천검암점,07:00~16:00,"월급1,914,440",3시간전
서울 동작구,다이소 노량진점,08:00~17:00,"월급1,914,440",3시간전
충남 논산시,다이소 논산내동점,09:00~18:00,"월급1,914,440",3시간전
경기 포천시,다이소 포천송우사거리점,08:00~17:00,"월급1,914,440",3시간전
충남 논산시,다이소 논산점,07:00~10:00,"시급9,200",3시간전
대전 동구,다이소 대전가오점,시간협의,"시급9,160",3시간전
인천 서구,다이소 인천검암점,07:00~16:00,"월급1,914,440",3시간전
경기 성남시,다이소 분당야탑점,시간협의,"월급1,914,440",3시간전
서울 종로구,다이소 동대문점,07:30~13:30,"시급9,160",3시간전
인천 남동구,다이소 인천구월로데오점,07:30~16:30,"월급1,914,440",3시간전
경기 파주시,다이소 파주목동동점,07:00~16:00,"월급1,914,440",3시간전
경기 파주시,다이소 파주목동동점,16:00~22:00,"시급9,160",3시간전
경기 파주시,다이소 파주운정1호점,07:00~16:00,"월급1,914,440",3시간전
경기 파주시,다이소 파주운정1호점,07:00~16:00,"월급1,914,440",3시간전
경기 파주시,금촌본점,16:00~22:00,"시급9,160",3시간전
서울 노원구,다이소 롯데마트중계점,10:00~16:00,"시급9,160",4시간전
