place,title,time,pay,date
경기 수원시,대교 눈높이 수원동부 교육국,시간협의,"월급2,000,000",38분전
대구 달서구,대교 눈높이 대구강창 교육국,15:30~18:30,"시급10,000",1시간전
울산 남구,대교 눈높이 울산강남 교육국,시간협의,"월급2,000,000",1시간전
울산 남구,대교 눈높이 삼산아이비 러닝센터,시간협의,"주급2,000,000",1시간전
경기 전체,대교 눈높이 녹양 러닝센터,시간협의,"월급2,200,000",4시간전
경기 수원시,대교 눈높이 권선 러닝센터,시간협의,"월급2,000,000",4시간전
경북 구미시,대교 눈높이 봉곡 러닝센터,시간협의,"월급2,100,000",4시간전
경북 구미시,대교 눈높이 구미서부 교육국,시간협의,"월급2,100,000",4시간전
인천 중구,대교 눈높이 영종 러닝센터,시간협의,"월급2,200,000",4시간전
경기 김포시,대교 눈높이 고촌수기 러닝센터,11:00~20:00,"월급2,200,000",4시간전
인천 전체,대교 눈높이 영종별빛 러닝센터,11:00~20:00,"월급2,200,000",4시간전
인천 전체,대교 눈높이 인천논현 러닝센터,시간협의,"월급2,200,000",4시간전
경기 김포시,대교 눈높이 통진 러닝센터,시간협의,"월급2,200,000",4시간전
인천 전체,대교 눈높이 청천금호 러닝센터,시간협의,"월급2,200,000",4시간전
인천 전체,대교 눈높이 마장 러닝센터,시간협의,"월급2,200,000",5시간전
인천 전체,대교 눈높이 청천대우 러닝센터,시간협의,"월급2,200,000",5시간전
인천 전체,대교 눈높이 학익인하 러닝센터,시간협의,"월급2,200,000",5시간전
인천 전체,대교 눈높이 부현 러닝센터,시간협의,"월급2,200,000",5시간전
인천 전체,대교 눈높이 동양 러닝센터,시간협의,"월급2,200,000",5시간전
인천 전체,대교 눈높이 금호 러닝센터,시간협의,"월급2,200,000",5시간전
경기 김포시,대교 눈높이 고촌 러닝센터,시간협의,"월급2,200,000",5시간전
경기 시흥시,대교 눈높이 목감 러닝센터,시간협의,"월급2,200,000",5시간전
경기 수원시,대교 눈높이 수원남부 교육국,시간협의,"월급2,500,000",5시간전
경기 시흥시,대교 눈높이 장곡 러닝센터,시간협의,"월급2,200,000",5시간전
경기 시흥시,대교 눈높이 시흥은행 러닝센터,시간협의,"월급2,200,000",5시간전
경기 시흥시,대교 눈높이 시흥신천 러닝센터,시간협의,"월급2,200,000",5시간전
경기 김포시,대교 눈높이 김포호수 러닝센터,시간협의,"월급2,200,000",5시간전
경기 김포시,대교 눈높이 풍무그린 러닝센터,시간협의,"월급2,200,000",5시간전
경기 김포시,대교 눈높이 구래나비 러닝센터,시간협의,"월급2,200,000",5시간전
경기 의정부,대교 눈높이 동오 러닝센터,시간협의,"월급2,150,000",5시간전
인천 전체,대교 눈높이 청천금호 러닝센터,시간협의,"월급2,200,000",5시간전
경기 김포시,대교 눈높이 통진 러닝센터,시간협의,"월급2,200,000",5시간전
인천 전체,대교 눈높이 인천논현 러닝센터,시간협의,"월급2,200,000",5시간전
경기 김포시,대교 눈높이 고촌수기 러닝센터,11:00~20:00,"월급2,200,000",5시간전
인천 전체,대교 눈높이 영종별빛 러닝센터,11:00~20:00,"월급2,200,000",5시간전
경기 시흥시,대교 눈높이 경기시흥 교육국,시간협의,"월급2,200,000",5시간전
경기 이천시,대교 눈높이 이천북부 교육국,02:00~09:00,"월급2,000,000",5시간전
경기 김포시,대교 눈높이 통진강화 교육국,시간협의,"월급2,200,000",5시간전
경기 김포시,대교 눈높이 김포한강 교육국,시간협의,"월급2,200,000",5시간전
인천 전체,대교 눈높이 인천검단 교육국,시간협의,"월급2,200,000",5시간전
