place,title,time,pay,date
세종 다정동,대리주부 본사,시간협의,"시급12,500",7시간전
경기 수원시,대리주부 본사,시간협의,"시급12,500",7시간전
경기 수원시,대리주부 본사,시간협의,"시급12,500",7시간전
대전 유성구,대리주부 본사,시간협의,"시급12,500",7시간전
경기 용인시,대리주부 본사,시간협의,"시급12,500",7시간전
부산 사상구,대리주부 본사,시간협의,"시급12,500",7시간전
경기 성남시,대리주부 본사,시간협의,"시급12,500",7시간전
경기 성남시,대리주부 본사,시간협의,"시급12,500",7시간전
충남 천안시,대리주부 본사,시간협의,"시급12,500",7시간전
경기 남양주,대리주부 본사,시간협의,"시급12,500",7시간전
경기 성남시,대리주부 본사,시간협의,"시급12,500",7시간전
경기 김포시,대리주부 본사,시간협의,"시급12,500",7시간전
경기 안양시,대리주부 본사,시간협의,"시급12,500",7시간전
경기 시흥시,대리주부 본사,시간협의,"시급12,500",7시간전
경기 의정부,대리주부 본사,시간협의,"시급12,500",7시간전
서울 노원구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 서대문,대리주부 본사,시간협의,"시급12,500",7시간전
서울 영등포,대리주부 본사,시간협의,"시급12,500",7시간전
서울 동작구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 강남구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 용산구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 성동구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 광진구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 동대문,대리주부 본사,시간협의,"시급12,500",7시간전
서울 송파구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 강동구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 강서구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 마포구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 서초구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 관악구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 양천구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 중랑구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 강북구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 금천구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 도봉구,대리주부 본사,시간협의,"시급12,500",7시간전
서울 강남구,홈스토리생활,09:00~18:00,"시급10,000",02/21
제주 제주시,대리주부 본사,시간협의,"시급15,000",02/21
충북 청주시,대리주부 본사,시간협의,"시급15,000",02/21
세종 다정동,대리주부 본사,시간협의,"시급15,000",02/21
경기 평택시,대리주부 본사,시간협의,"시급15,000",02/21
