place,title,time,pay,date
경남 창원시,대한곱창 진해용원점,16:00~22:00,"시급10,000",2시간전
인천 서구,대한곱창 인천청라점,18:00~23:00,"시급11,000",4시간전
광주 광산구,대한곱창 광주수완점,시간협의,"시급10,000",4시간전
부산 강서구,대한곱창 부산명지점,18:00~22:00,"시급10,000",02/26
경남 김해시,대한곱창 김해삼계점,03:30~10:00,"시급10,000",02/26
대전 서구,대한곱창 대전둔산점,시간협의,"시급9,500",02/25
전남 여수시,대한곱창 여수웅천점,18:00~22:00,"시급10,000",02/25
경기 남양주,대한곱창 마석점,15:30~22:30,"시급9,300",02/22
충북 청주시,대한곱창 청주동남점,시간협의,"시급10,000",02/22
광주 서구,대한곱창 광주금호점,18:30~22:30,"시급9,160",02/22
광주 서구,대한곱창 광주금호점,18:30~22:30,"시급9,160",02/22
광주 서구,대한곱창 광주금호점,18:30~22:30,"시급9,160",02/22
경기 광주시,대한곱창 광주초월점,14:00~24:00,"월급2,500,000",02/21
경기 광주시,대한곱창 광주초월점,14:00~24:00,"월급2,500,000",02/21
광주 서구,대한곱창 광주금호점,18:30~22:30,"시급9,160",02/20
충북 청주시,대한곱창 청주동남점,시간협의,"시급10,000",02/16
경기 용인시,대한곱창 수지구청점,18:00~21:00,"시급10,000",02/14
전남 여수시,대한곱창 여수웅천점,18:00~22:00,"시급10,000",02/14
부산 강서구,대한곱창 부산명지점,17:00~21:00,"시급10,000",02/13
부산 강서구,대한곱창 부산명지점,18:00~22:00,"시급10,000",02/13
서울 송파구,대한곱창 문정역점,시간협의,"시급11,000",02/12
전남 여수시,대한곱창 여수웅천점,18:00~22:30,"월급1,600,000",02/12
