place,title,time,pay,date
울산 남구,도야족발보쌈 야음점,17:00~22:00,"시급9,160",25분전
충남 서산시,도야족발보쌈 서산점,05:00~10:00,"시급9,300",33분전
충남 서산시,도야족발보쌈 서산점,05:00~10:00,"시급9,300",2시간전
충남 서산시,도야족발보쌈 서산점,05:00~10:00,"시급9,300",2시간전
전남 순천시,도야족발보쌈 조례점,시간협의,"월급2,500,000",3시간전
강원 동해시,도야족발보쌈 동해점,10:30~21:00,"시급9,160",4시간전
강원 동해시,도야족발보쌈 동해점,11:00~19:00,"시급9,160",4시간전
강원 동해시,도야족발보쌈 동해점,10:00~21:00,"시급9,160",4시간전
전남 순천시,도야족발보쌈 조례점,시간협의,"월급2,500,000",7시간전
전남 순천시,도야족발보쌈 조례점,시간협의,"월급2,500,000",9시간전
부산 해운대,도야족발보쌈 해운대점,17:00~22:00,"시급9,160",02/25
전남 순천시,도야족발보쌈 조례점,시간협의,"월급2,500,000",02/25
울산 남구,도야족발보쌈 무거점,시간협의,"월급3,000,000",02/17
울산 남구,도야족발보쌈 야음점,17:00~22:00,"시급9,160",02/17
울산 남구,도야족발보쌈 야음점,17:00~22:00,"시급9,160",02/15
충남 서산시,도야족발보쌈 서산점,05:00~10:00,"시급9,300",02/14
경남 김해시,도야족발보쌈 물금점2,17:00~21:30,"시급9,200",02/11
경남 김해시,도야족발보쌈 물금점2,17:00~21:30,"시급9,200",02/11
경남 김해시,도야족발보쌈 물금점2,10:30~15:00,"시급9,200",02/11
경남 김해시,도야족발보쌈 물금점2,10:30~15:00,"시급9,200",02/11
