place,title,time,pay,date
대구 북구,돼지게티 대구 대현점,16:00~21:00,"시급9,160",2시간전
서울 관악구,돼지게티 서울 신림점,시간협의,"월급2,220,000",3시간전
서울 서초구,돼지게티 서울 서초점,시간협의,"월급2,300,000",3시간전
서울 서초구,돼지게티 서울 서초점,시간협의,"월급2,300,000",3시간전
서울 관악구,돼지게티 서울 신림점,시간협의,"월급2,220,000",4시간전
울산 북구,돼지게티 울산 호계점,16:00~19:00,"시급9,160",5시간전
대구 달서구,돼지게티 대구 감삼점,22:00~02:00,"시급11,000",5시간전
광주 서구,돼지게티 상무점,시간협의,"월급2,300,000",02/26
대구 달서구,돼지게티 대구 감삼점,16:00~22:00,"시급11,000",02/25
충북 충주시,돼지게티 서충주점,시간협의,"시급10,000",02/25
충북 충주시,돼지게티 서충주점,시간협의,"시급10,000",02/25
충북 충주시,돼지게티 서충주점,시간협의,"시급10,000",02/25
충북 충주시,돼지게티 충주점,시간협의,"시급9,400",02/25
충북 충주시,돼지게티 충주점,시간협의,"월급2,300,000",02/25
충북 충주시,돼지게티 충주점,시간협의,"월급2,300,000",02/25
충북 충주시,돼지게티 충주점,시간협의,"시급9,400",02/25
광주 서구,돼지게티 상무점,시간협의,"월급2,300,000",02/25
광주 서구,돼지게티 상무점,시간협의,"월급2,300,000",02/25
서울 강동구,돼지게티 서울 강동점,시간협의,"월급3,000,000",02/25
서울 강동구,돼지게티 서울 강동점,시간협의,"월급3,000,000",02/25
서울 강동구,돼지게티 서울 강동점,시간협의,"월급3,000,000",02/25
서울 강동구,돼지게티 서울 강동점,시간협의,"월급3,000,000",02/25
대전 유성구,돼지게티 노은점,12:00~24:00,"시급9,160",02/25
대전 유성구,돼지게티 노은점,12:00~24:00,"시급9,160",02/25
대전 유성구,돼지게티 노은점,12:00~24:00,"시급9,160",02/25
부산 부산진,돼지게티 부산 서면점,시간협의,"시급9,500",02/19
광주 서구,돼지게티 상무점,시간협의,"월급2,300,000",02/14
대전 유성구,돼지게티 노은점,12:00~24:00,"시급9,160",02/13
