place,title,time,pay,date
광주 광산구,딜리온 [딜리온]광주광산센터,시간협의,"일급200,000",54분전
광주 광산구,딜리온 [딜리온]광주광산센터,시간협의,"일급200,000",54분전
광주 광산구,딜리온 [딜리온]광주광산센터,시간협의,"일급200,000",55분전
경기 오산시,딜리온 [딜리온] 경기오산지사,시간협의,"연봉100,000,000",1시간전
경기 오산시,딜리온 [딜리온] 경기오산지사,08:00~02:00,"일급300,000",1시간전
경기 오산시,[딜리온] 경기 오산점,10:00~22:00,"일급250,000",1시간전
경기 오산시,[딜리온] 경기 오산점,10:00~22:00,"월급5,000,000",1시간전
경기 오산시,[딜리온] 경기 오산점,10:00~22:00,"월급5,000,000",1시간전
대구 달성군,딜리온 [딜리온] 대구 구지지점,시간협의,"일급150,000",2시간전
대구 달성군,딜리온 [딜리온] 대구 구지지점,시간협의,"일급150,000",2시간전
인천 부평구,[딜리온] 인천부평점,10:00~01:00,"일급300,000",4시간전
인천 남동구,[딜리온] 인천부평점,10:00~01:00,"일급300,000",4시간전
대구 달서구,[딜리온] 대구용산점,00:00~24:00,"건별4,000",5시간전
대구 달서구,[딜리온] 대구달서점,00:00~24:00,"건별4,000",5시간전
대구 달서구,[딜리온] 대구다사점,00:00~24:00,"건별4,000",5시간전
서울 금천구,딜리온 [딜리온] 서울 금천본부,시간협의,"일급300,000",5시간전
제주 서귀포,딜리온 [딜리온]제주서귀포지사,시간협의,"월급6,000,000",6시간전
제주 서귀포,딜리온 [딜리온]제주서귀포지사,시간협의,"연봉100,000,000",6시간전
경기 평택시,딜리온 [딜리온]경기평택지사,시간협의,"일급150,000",6시간전
경기 평택시,딜리온 [딜리온]경기평택지사,시간협의,"일급150,000",6시간전
대구 달서구,[딜리온] 대구용산점,00:00~24:00,"건별4,000",7시간전
대구 달서구,[딜리온] 대구달서점,00:00~24:00,"건별4,000",7시간전
대구 달서구,[딜리온] 대구다사점,00:00~24:00,"건별4,000",7시간전
인천 부평구,딜리온 [딜리온] 인천부평지사,시간협의,"일급250,000",8시간전
경기 평택시,딜리온 [딜리온]평택3지사,시간협의,"건별4,000",9시간전
경기 평택시,딜리온 [딜리온]평택3지사,시간협의,"건별4,000",9시간전
서울 강북구,딜리온 [딜리온]서울 강북지사,시간협의,"건별4,000",10시간전
대구 달서구,[딜리온] 대구용산점,00:00~24:00,"건별4,000",02/26
대구 달서구,[딜리온] 대구다사점,00:00~24:00,"건별4,000",02/26
광주 광산구,딜리온 [딜리온]광주광산지사,시간협의,"일급200,000",02/26
광주 광산구,딜리온 [딜리온]광주광산지사,시간협의,"일급200,000",02/26
광주 광산구,딜리온 [딜리온]광주광산지사,시간협의,"일급200,000",02/26
인천 부평구,딜리온 [딜리온] 인천부평청천지사,시간협의,"일급200,000",02/26
인천 부평구,딜리온 [딜리온] 인천부평청천지사,시간협의,"일급200,000",02/26
전국 전체,[딜리온] 대구매천점,09:00~21:00,"일급200,000",02/26
전국 전체,[딜리온] 대구매천점,09:00~21:00,"일급200,000",02/26
대구 전체,[딜리온] 대구명덕점,시간협의,"일급150,000",02/26
충북 전체,딜리온 [딜리온]충북봉화지사,시간협의,"연봉100,000,000",02/26
전국 전체,[딜리온] 대구명덕점,시간협의,"일급150,000",02/26
전국 전체,[딜리온] 대구명덕점,시간협의,"일급150,000",02/26
