place,title,time,pay,date
제주 서귀포,딜버 제주 서귀포본점,08:00~03:00,"일급200,000",24분전
제주 서귀포,딜버 제주 서귀포본점,08:00~03:00,"일급200,000",24분전
제주 서귀포,딜버 제주 서귀포본점,08:00~03:00,"일급200,000",24분전
경남 양산시,딜버 증산점,시간협의,"일급200,000",28분전
인천 연수구,딜버 인천송도점,08:00~02:00,"일급400,000",29분전
인천 연수구,딜버 송도점,08:00~02:00,"일급400,000",29분전
부산 전체,기장1호점,시간협의,"일급150,000",34분전
부산 전체,기장1호점,시간협의,"일급150,000",34분전
부산 기장군,기장2호점,시간협의,"일급150,000",35분전
부산 기장군,기장2호점,시간협의,"일급150,000",35분전
부산 기장군,기장2호점,시간협의,"일급150,000",35분전
경기 전체,딜버 안양관양점,시간협의,"일급250,000",35분전
경기 전체,딜버 안양관양점,시간협의,"일급250,000",36분전
경남 김해시,서김해ALL3호점,시간협의,"일급250,000",50분전
경남 김해시,서김해ALL3호점,시간협의,"월급5,000,000",57분전
경남 김해시,서김해ALL3호점,시간협의,"일급250,000",59분전
대전 유성구,대전 궁동지점,시간협의,"일급200,000",2시간전
대전 유성구,대전 궁동지점,시간협의,"일급200,000",2시간전
대전 유성구,대전 궁동지점,시간협의,"일급200,000",2시간전
부산 해운대,딜버 중동점,시간협의,"일급200,000",2시간전
부산 해운대,딜버 중동점,시간협의,"일급200,000",2시간전
부산 전체,딜버 좌동점,시간협의,"일급200,000",2시간전
부산 전체,딜버 좌동점,시간협의,"일급200,000",2시간전
부산 전체,딜버 좌동점,시간협의,"일급200,000",2시간전
부산 해운대,딜버 부산 해운대본점,시간협의,"일급200,000",2시간전
부산 해운대,딜버 부산 해운대본점,시간협의,"일급200,000",2시간전
경남 김해시,김해 삼계1점,시간협의,"건별4,000",2시간전
부산 북구,구포점,09:00~01:00,"시급15,000",2시간전
부산 북구,구포점,09:00~01:00,"시급15,000",2시간전
부산 북구,덕천점,00:00~24:00,"건별4,500",2시간전
부산 북구,덕천점,00:00~24:00,"건별4,500",2시간전
부산 북구,덕천점,00:00~24:00,"건별4,500",2시간전
경남 김해시,딜버 구산삼계3호점,09:00~01:00,"일급200,000",2시간전
경기 전체,딜버 화성 봉담 와우점,09:00~24:00,"월급5,000,000",3시간전
부산 기장군,정관1호점,시간협의,"일급200,000",3시간전
부산 기장군,정관1호점,시간협의,"일급200,000",3시간전
경남 김해시,딜버 구산삼계3호점,09:00~01:00,"일급200,000",3시간전
광주 북구,딜버 전대점,시간협의,"일급200,000",3시간전
광주 북구,딜버 전대점,시간협의,"일급200,000",3시간전
인천 부평구,딜버 인천 부평점,09:00~06:00,"일급200,000",3시간전
