place,title,time,pay,date
대전 유성구,(주)러쉬코리아,시간협의,"시급11,230",10분전
서울 서초구,(주)러쉬코리아 강남역점,10:00~22:00,"시급11,230",22분전
서울 서초구,(주)러쉬코리아 강남역점,10:00~22:00,"시급11,230",23분전
서울 동대문,(주)러쉬코리아,13:00~20:00,"시급11,230",39분전
경기 성남시,러쉬 AK분당(서현),12:00~21:00,"시급11,230",2시간전
서울 강남구,러쉬 스타필드코엑스점,12:00~22:00,"시급11,230",4시간전
서울 노원구,러쉬코리아 롯데노원점,시간협의,"시급11,230",7시간전
서울 송파구,(주)러쉬코리아,13:00~22:00,"시급10,790",9시간전
서울 양천구,(주)러쉬코리아 현대목동점,시간협의,"시급11,230",02/25
경남 창원시,(주)러쉬코리아,09:30~22:00,"시급11,230",02/25
부산 중구,러쉬 롯데광복,시간협의,"시급11,230",02/25
서울 영등포,(주)러쉬코리아 여의도IFC몰,10:00~22:00,"시급10,790",02/24
경기 성남시,(주)러쉬코리아,시간협의,"시급11,230",02/23
전국 전체,(주)러쉬 러쉬코리아,시간협의,"시급11,230",02/22
부산 부산진,러쉬 롯데부산본점,시간협의,"시급11,230",02/20
인천 전체,(주)러쉬코리아,10:00~21:30,"시급10,790",02/20
광주 서구,(주)러쉬코리아,시간협의,"시급11,230",02/18
전북 전주시,러쉬 롯데전주,시간협의,"시급11,230",02/17
서울 강남구,(주)러쉬코리아 가로수길점,시간협의,"시급11,230",02/17
경기 안양시,(주)러쉬코리아 롯데평촌점,시간협의,"시급11,230",02/15
