place,title,time,pay,date
경기 파주시,롯데리아 파주운정점,시간협의,"월급2,000,000",1분전
경기 파주시,롯데리아 파주운정점,시간협의,"시급9,160",2분전
경기 화성시,롯데리아 동탄산척점,17:00~22:30,"시급9,160",2분전
경기 파주시,롯데리아 파주운정점,시간협의,"시급9,160",2분전
대전 유성구,롯데리아 대전관평점,시간협의,"월급2,300,000",14분전
경남 창원시,롯데리아 창원감계점,17:00~22:00,"시급9,160",27분전
경남 창원시,롯데리아 창원상남점,09:00~00:00,"시급9,160",31분전
부산 해운대,롯데리아 부산반여점,18:00~23:00,"시급9,160",39분전
경기 고양시,롯데리아 고양삼송점,시간협의,"시급9,160",45분전
경기 성남시,롯데리아 성남도촌점,시간협의,"시급9,160",46분전
충북 충주시,롯데리아 서충주신도시점,시간협의,"시급9,160",46분전
충남 천안시,롯데리아 천안백석점,16:00~22:00,"시급9,160",47분전
충남 천안시,롯데리아 천안백석점,16:00~22:00,"시급9,160",47분전
충남 천안시,롯데리아 천안백석점,16:00~22:00,"시급9,160",48분전
충남 천안시,롯데리아 천안백석점,16:00~22:00,"시급9,160",49분전
서울 동작구,롯데리아 노량진점,시간협의,"시급9,160",49분전
대구 달서구,롯데리아 대구성당D/T점,시간협의,"월급2,100,000",56분전
대구 달서구,롯데리아 대구성당D/T점,시간협의,"시급9,160",56분전
대구 달서구,롯데리아 대구성당D/T점,시간협의,"시급9,160",56분전
대구 달서구,롯데리아 대구성당D/T점,시간협의,"시급9,160",56분전
경기 안양시,롯데리아 안양박달D/I점,시간협의,"월급2,100,000",1시간전
경기 안양시,롯데리아 안양박달D/I점,시간협의,"시급9,160",1시간전
서울 강동구,롯데리아 길동점,시간협의,"시급9,160",1시간전
인천 서구,롯데리아 인천가좌점,시간협의,"시급9,160",1시간전
인천 서구,롯데리아 인천가좌점,18:00~00:00,"시급9,160",1시간전
인천 서구,롯데리아 인천가좌점,18:00~00:00,"시급9,160",1시간전
인천 서구,롯데리아 인천가좌점,18:00~00:00,"시급9,160",1시간전
충남 당진시,롯데리아 당진점,17:00~01:00,"시급12,824",1시간전
충남 당진시,롯데리아 당진점,17:00~01:00,"시급12,824",1시간전
서울 도봉구,롯데리아 방학점,16:00~23:00,"시급9,160",1시간전
경기 수원시,롯데리아 수원역광장점,시간협의,"시급9,160",1시간전
경기 수원시,롯데리아 수원역광장점,시간협의,"시급9,160",1시간전
부산 해운대,롯데리아 부산재송점,시간협의,"시급9,160",2시간전
전남 나주시,롯데리아 나주혁신점,시간협의,"시급9,160",2시간전
경기 의정부,롯데리아 의정부민락점,18:00~22:00,"시급9,160",2시간전
부산 해운대,롯데리아 부산재송점,시간협의,"시급9,160",2시간전
충남 당진시,롯데리아 당진점,17:00~01:00,"시급12,824",2시간전
인천 미추홀,롯데리아 인천학산점,시간협의,"시급9,160",2시간전
서울 광진구,롯데리아 건대스타시티점,시간협의,"시급9,160",2시간전
서울 광진구,롯데리아 건대스타시티점,시간협의,"시급9,160",2시간전
