place,title,time,pay,date
서울 광진구,롯데마트 강변점,09:00~09:00,"시급9,200",2시간전
인천 중구,롯데쇼핑(주)롯데마트영종도점,시간협의,"월급1,698,300",2시간전
전남 무안군,롯데쇼핑(주)롯데마트 남악점,시간협의,"월급1,700,000",4시간전
경기 안양시,롯데식품관 평촌점,08:00~16:00,"시급9,200",5시간전
경기 전체,롯데마트 신갈점,시간협의,"시급9,200",02/26
인천 중구,롯데쇼핑(주)롯데마트영종도점,시간협의,"월급1,698,300",02/26
경기 전체,롯데마트 신갈점,시간협의,"시급9,200",02/25
인천 중구,롯데쇼핑(주)롯데마트영종도점,시간협의,"월급1,698,300",02/25
충남 천안시,롯데마트 성정점,12:00~20:00,"월급1,698,300",02/24
경기 전체,롯데마트 신갈점,시간협의,"시급9,200",02/24
울산 남구,롯데마트 울산점,시간협의,"월급1,698,300",02/24
전국 전체,롯데마트 판교점,시간협의,"월급1,698,300",02/24
경기 평택시,롯데쇼핑(주)롯데마트 평택점,시간협의,"시급9,200",02/23
서울 송파구,롯데마트 제타플렉스,시간협의,"월급1,698,300",02/22
경기 이천시,롯데마트 이천점,시간협의,"월급1,698,300",02/20
서울 광진구,롯데마트 강변점,09:00~09:00,"시급9,200",02/19
경기 이천시,롯데마트 이천안흥점,시간협의,"월급1,698,300",02/19
경기 전체,롯데쇼핑(주) 롯데마트광교점,시간협의,"시급9,200",02/14
전남 나주시,롯데쇼핑(주)롯데마트 나주점,시간협의,"월급1,698,300",02/13
전국 전체,롯데마트상당점,07:00~16:00,"시급9,300",02/12
경기 이천시,롯데마트 이천점,시간협의,"월급1,698,300",02/11
