place,title,time,pay,date
서울 노원구,마마쿡 상계점,08:00~18:00,"시급9,160",1시간전
경기 성남시,마마쿡 분당점,18:00~23:00,"시급9,160",6시간전
서울 양천구,마마쿡 목동점,08:00~18:00,"시급9,160",7시간전
서울 강남구,마마쿡 압구정점,08:00~18:00,"시급9,160",7시간전
서울 강남구,마마쿡 압구정점,08:00~18:00,"시급9,160",02/25
경기 광명시,마마쿡 광명점,08:00~18:00,"월급2,287,000",02/25
경기 성남시,마마쿡 분당점,18:00~23:00,"시급9,160",02/25
서울 송파구,마마쿡 잠실점,08:00~18:00,"월급2,287,000",02/25
서울 양천구,마마쿡 목동점,08:00~18:00,"시급9,160",02/21
서울 강남구,마마쿡 대치점,08:00~18:00,"월급2,287,000",02/18
서울 송파구,마마쿡 잠실점,08:00~18:00,"월급2,287,000",02/18
경기 광명시,마마쿡 광명점,08:00~18:00,"월급2,287,000",02/18
서울 강남구,마마쿡 압구정점,08:00~18:00,"시급9,160",02/18
서울 광진구,마마쿡 아차산점,08:00~18:00,"시급9,160",02/18
서울 광진구,마마쿡 아차산점,08:00~18:00,"시급9,160",02/18
서울 강남구,마마쿡 압구정점,08:00~18:00,"시급9,160",02/18
경기 성남시,마마쿡 분당점,18:00~23:00,"시급9,160",02/15
서울 송파구,마마쿡 잠실점,08:00~18:00,"월급2,287,000",02/15
서울 강남구,마마쿡 대치점,08:00~18:00,"월급2,287,000",02/15
경기 광명시,마마쿡 광명점,08:00~18:00,"월급2,287,000",02/15
서울 송파구,마마쿡 잠실점,08:00~18:00,"월급2,287,000",02/15
서울 강남구,마마쿡 대치점,08:00~18:00,"월급2,287,000",02/15
