place,title,time,pay,date
서울 강남구,매드포갈릭봉은사아이파크타워점,11:30~20:30,"시급11,000",11분전
경기 화성시,매드포갈릭 동탄점,시간협의,"시급11,000",30분전
경기 화성시,매드포갈릭 동탄점,시간협의,"시급11,000",30분전
경기 고양시,엠에프지코리아 매드포갈릭 일산웨스턴돔,시간협의,"시급11,000",48분전
경기 화성시,매드포갈릭 동탄점,12:00~21:00,"시급11,000",1시간전
서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급11,000",1시간전
광주 서구,매드포갈릭 광주광천점,시간협의,"시급11,000",2시간전
서울 강남구,매드포갈릭 도곡점,12:00~21:00,"시급11,000",2시간전
경기 안성시,매드포갈릭 안성스타필드점,시간협의,"시급11,000",3시간전
경기 수원시,매드포갈릭 수원인계점,시간협의,"시급11,000",3시간전
인천 연수구,매드포갈릭 송도점,12:00~21:00,"시급11,000",3시간전
서울 광진구,매드포갈릭 건대스타시티점,시간협의,"시급11,000",3시간전
대전 서구,매드포갈릭 대전둔산점,10:30~14:00,"시급11,000",4시간전
서울 서초구,매드포갈릭 삼성타운점,시간협의,"시급11,000",4시간전
부산 기장군,매드포갈릭 롯데몰동부산점.서면오픈예정,시간협의,"시급11,000",4시간전
서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급11,000",4시간전
경기 평택시,(주)엠에프지코리아,18:00~21:00,"시급11,000",5시간전
서울 강남구,매드포갈릭봉은사아이파크타워점,11:30~20:30,"시급11,000",5시간전
경기 평택시,(주)엠에프지코리아,18:00~21:00,"시급11,000",5시간전
서울 영등포,매드포갈릭 영등포타임스퀘어점,12:30~21:30,"시급11,000",5시간전
서울 영등포,매드포갈릭 영등포타임스퀘어점,12:30~21:30,"시급11,000",6시간전
경기 평택시,매드포갈릭 평택AK플라자점,시간협의,"시급11,000",6시간전
서울 강남구,매드포갈릭봉은사아이파크타워점,11:30~20:30,"시급11,000",6시간전
부산 기장군,매드포갈릭 롯데몰동부산점.서면오픈예정,시간협의,"시급11,000",7시간전
서울 강남구,매드포갈릭 도곡점,12:00~21:00,"시급11,000",7시간전
서울 광진구,매드포갈릭 건대스타시티점,시간협의,"시급11,000",7시간전
서울 마포구,매드포갈릭 합정점,시간협의,"시급11,000",7시간전
서울 중구,매드포갈릭 센터원점,시간협의,"시급11,000",7시간전
경기 화성시,매드포갈릭 동탄점,시간협의,"시급11,000",8시간전
서울 강남구,매드포갈릭 도곡점,12:00~21:00,"시급11,000",10시간전
서울 강남구,매드포갈릭봉은사아이파크타워점,11:30~20:30,"시급11,000",10시간전
서울 용산구,엠에프지코리아 매드포갈릭용산아이파크몰,시간협의,"시급11,000",02/26
경기 성남시,매드포갈릭 분당서현점,12:00~21:00,"시급11,000",02/26
전국 전체,주식회사엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급11,000",02/26
서울 양천구,(주)엠에프지코리아 매드포갈릭 목동점,시간협의,"시급11,000",02/26
경기 수원시,매드포갈릭 수원롯데점,시간협의,"시급11,000",02/25
경기 화성시,매드포갈릭 동탄점,12:00~21:00,"시급11,000",02/25
서울 서초구,매드포갈릭 예술의 전당점,11:30~20:30,"시급11,000",02/25
경기 평택시,매드포갈릭 평택AK플라자점,시간협의,"시급11,000",02/25
서울 용산구,엠에프지코리아 매드포갈릭용산아이파크몰,시간협의,"시급11,000",02/25
