place,title,time,pay,date
경기 성남시,매머드커피 판교,12:00~16:30,"시급11,000",27분전
경기 성남시,매머드커피 수내,시간협의,"시급9,160",1시간전
경기 성남시,매머드커피 수내,시간협의,"시급9,160",1시간전
경기 성남시,매머드커피 수내,시간협의,"시급9,160",1시간전
경기 성남시,매머드커피 판교,11:30~16:00,"시급11,000",3시간전
경기 성남시,매머드커피 판교,12:00~16:30,"시급11,000",5시간전
서울 마포구,매머드커피 상암이안,08:00~10:00,"시급9,160",5시간전
서울 중랑구,매머드커피 묵동,01:30~18:00,"시급9,160",6시간전
경기 성남시,매머드커피 정자역,12:00~17:00,"시급9,160",7시간전
경기 성남시,매머드커피 정자역,16:00~21:00,"시급9,160",7시간전
경기 성남시,매머드커피 판교,12:00~16:30,"시급11,000",7시간전
서울 중구,매머드커피 퍼시픽타워,07:30~13:30,"시급9,160",02/26
경기 부천시,매머드커피 신중동역,16:30~22:30,"시급9,160",02/26
경기 부천시,매머드커피 신중동역,14:30~18:30,"시급9,160",02/26
서울 중구,매머드커피 명동,07:00~14:00,"시급9,160",02/25
서울 중구,매머드커피 퍼시픽타워,07:30~13:30,"시급9,160",02/25
서울 중구,매머드커피 퍼시픽타워,07:30~13:30,"시급9,160",02/24
서울 중구,매머드커피 퍼시픽타워,07:30~13:30,"시급9,160",02/23
서울 중구,매머드커피 명동,07:00~14:00,"시급9,160",02/22
서울 서초구,매머드커피 양재,12:00~14:00,"시급9,160",02/21
서울 강남구,매머드커피 역삼역점,10:00~19:00,"시급9,160",02/19
서울 중구,매머드커피 명동,07:00~14:00,"시급9,160",02/19
서울 강남구,매머드커피 선정릉,12:00~15:00,"시급11,000",02/18
서울 서초구,매머드커피 양재,12:00~14:00,"시급9,160",02/15
