place,title,time,pay,date
서울 금천구,부릉 금천시흥지점,시간협의,"일급200,000",28분전
대구 수성구,부릉통합지원센터,08:00~04:00,"일급300,000",49분전
대구 수성구,부릉통합지원센터,08:00~04:00,"일급300,000",49분전
대구 수성구,부릉통합지원센터,08:00~04:00,"일급300,000",49분전
부산 해운대,부릉 부산중동지점,10:00~02:00,"건별3,300",56분전
부산 해운대,부릉 부산중동지점,10:00~02:00,"건별3,300",56분전
부산 해운대,부릉 부산중동지점,10:00~02:00,"건별3,300",57분전
인천 서구,인천서구연희지점,시간협의,"건별3,500",1시간전
인천 서구,인천서구연희지점,시간협의,"건별3,500",1시간전
인천 남동구,부릉 인천논현지점,10:00~01:00,"건별3,500",1시간전
인천 남동구,부릉 인천논현지점,10:00~01:00,"건별3,500",1시간전
부산 기장군,부릉 부산송정지점,시간협의,"월급4,500,000",1시간전
부산 해운대,부릉 부산송정지점,시간협의,"월급4,500,000",1시간전
부산 해운대,부릉 부산송정지점,시간협의,"월급4,500,000",1시간전
부산 사하구,부릉 부산감천지점,시간협의,"월급4,000,000",2시간전
인천 서구,부릉 인천석남지점,08:00~01:00,"일급250,000",3시간전
경남 양산시,부릉 양산웅상지점,10:00~24:00,"월급4,000,000",3시간전
경남 양산시,부릉 양산웅상지점,10:00~24:00,"월급4,000,000",3시간전
부산 사하구,부릉 부산엄궁지점,08:00~03:00,"일급200,000",4시간전
부산 사상구,부릉 부산엄궁지점,08:00~03:00,"일급200,000",4시간전
경남 김해시,부릉 김해삼문지점,시간협의,"건별4,000",4시간전
인천 서구,부릉 인천가좌지점,09:00~23:00,"일급250,000",4시간전
인천 서구,부릉 인천가좌지점,09:00~23:00,"일급250,000",4시간전
경남 창원시,부릉 창원상남지점,시간협의,"월급4,500,000",4시간전
경남 창원시,부릉 창원상남지점,시간협의,"월급4,500,000",4시간전
부산 동구,부릉 부산초량지점,11:00~02:00,"월급4,500,000",4시간전
부산 동구,부릉 부산초량지점,11:00~02:00,"월급4,500,000",4시간전
부산 동구,부릉 부산초량지점,11:00~02:00,"월급4,500,000",4시간전
부산 사하구,부릉 부산당리지점,10:00~23:00,"일급200,000",4시간전
경기 성남시,부릉 성남중원수정지점,10:00~03:00,"월급5,000,000",4시간전
경기 성남시,부릉 성남중원수정지점,10:00~03:00,"월급5,000,000",4시간전
경기 성남시,부릉 성남중원수정지점,10:00~03:00,"월급5,000,000",4시간전
충남 당진시,부릉 당진읍내지점,시간협의,"건별4,000",5시간전
전북 전주시,부릉 전주만성지점,10:00~01:00,"월급5,000,000",5시간전
충남 당진시,부릉 당진읍내지점,시간협의,"건별4,000",5시간전
전북 전주시,부릉 전주만성지점,10:00~01:00,"월급5,000,000",6시간전
부산 기장군,부릉 부산교리지점,09:00~02:00,"건별3,500",6시간전
부산 기장군,부릉 부산교리지점,09:00~02:00,"건별3,500",6시간전
경기 평택시,부릉 평택합정지점,09:00~24:00,"월급5,000,000",6시간전
경기 평택시,부릉 평택합정지점,09:00~24:00,"월급5,000,000",6시간전
