place,title,time,pay,date
대전 전체,무인양품(주) 대전점,시간협의,"월급1,933,000",14분전
대구 북구,무인양품(주) 대구점,12:30~20:00,"시급9,160",2시간전
경기 성남시,무인양품(주) 판교점,시간협의,"월급1,933,000",2시간전
경기 성남시,무인양품(주) 롯데분당점,시간협의,"월급1,933,000",3시간전
서울 강남구,무인양품(주),시간협의,"시급9,250",02/26
대전 전체,무인양품(주) 대전점,시간협의,"월급1,933,000",02/25
광주 동구,무인양품(주) 광주점,시간협의,"월급1,933,000",02/23
경기 하남시,무인양품(주) 하남점,시간협의,"월급1,933,000",02/23
서울 은평구,무인양품(주) 은평점,시간협의,"월급1,933,000",02/23
서울 영등포,무인양품(주) IFC몰점,시간협의,"월급1,933,000",02/23
서울 중구,무인양품(주) 서울역,시간협의,"월급1,933,000",02/23
서울 중구,무인양품(주) 영플라자점,시간협의,"월급1,933,000",02/23
경기 성남시,무인양품(주) AK분당점,시간협의,"월급1,933,000",02/23
경기 성남시,무인양품(주) AK분당점,시간협의,"월급1,933,000",02/23
서울 강남구,무인양품(주) 파르나스몰점,시간협의,"월급1,933,000",02/23
서울 서초구,무인양품(주) 파르나스몰점,시간협의,"월급1,933,000",02/23
경기 용인시,무인양품(주) 수지점,시간협의,"월급1,933,000",02/23
경기 전체,무인양품(주) 판교점,13:00~21:00,"시급9,250",02/23
경기 전체,무인양품(주) 판교점,13:00~21:00,"시급9,250",02/23
울산 남구,무인양품(주) 울산점,시간협의,"월급1,933,000",02/18
부산 부산진,무인양품(주) 부산본점,시간협의,"월급1,933,000",02/18
경기 하남시,무인양품(주) 하남점,시간협의,"월급1,933,000",02/18
서울 용산구,무인양품(주) 아이파크몰점,시간협의,"월급1,933,000",02/18
서울 영등포,무인양품(주) IFC몰점,시간협의,"월급1,933,000",02/18
서울 중구,무인양품(주) 영플라자점,시간협의,"월급1,933,000",02/18
서울 영등포,무인양품(주) 타임스퀘어점,시간협의,"월급1,933,000",02/18
경기 용인시,무인양품(주) AK기흥점,시간협의,"월급1,933,000",02/18
경기 수원시,무인양품(주) 수원점,시간협의,"월급1,933,000",02/18
서울 송파구,무인양품(주) 롯데월드몰점,시간협의,"월급1,933,000",02/18
서울 서대문,무인양품(주) 신촌점,시간협의,"월급1,933,000",02/18
울산 남구,무인양품(주) 울산점,시간협의,"월급1,933,000",02/14
경남 창원시,무인양품(주) 창원점,시간협의,"월급1,933,000",02/14
부산 부산진,무인양품(주) 부산본점,시간협의,"월급1,933,000",02/14
서울 은평구,무인양품(주) 서울역,시간협의,"월급1,933,000",02/14
서울 중구,무인양품(주) 서울역,시간협의,"월급1,933,000",02/14
경기 용인시,무인양품(주) AK기흥점,시간협의,"월급1,933,000",02/14
서울 마포구,무인양품(주) 합정점,시간협의,"월급1,933,000",02/14
부산 부산진,무인양품(주) 부산본점,시간협의,"월급1,933,000",02/11
경기 수원시,무인양품(주) 수원점,시간협의,"월급1,933,000",02/11
서울 성북구,무인양품(주) 영풍종로점,시간협의,"월급1,933,000",02/11
