place,title,time,pay,date
경기 남양주,무지개맥주 & 동네포차주민 남양주 마,17:30~22:30,"시급9,500",5시간전
서울 성동구,무지개맥주 & 동네포차주민 서울 왕십,17:00~02:30,"월급2,600,000",13시간전
서울 성동구,무지개맥주 & 동네포차주민 서울 왕십,17:00~02:30,"월급2,600,000",13시간전
서울 성동구,무지개맥주 & 동네포차주민 서울 왕십,17:00~02:30,"월급2,600,000",13시간전
경기 김포시,무지개맥주 & 동네포차주민 김포 풍무,17:00~22:00,"시급10,500",13시간전
경기 김포시,무지개맥주 & 동네포차주민 김포 풍무,17:00~22:00,"시급10,500",13시간전
경기 김포시,무지개맥주 & 동네포차주민 김포 풍무,17:00~22:00,"시급10,500",13시간전
경기 김포시,무지개맥주 & 동네포차주민 김포 풍무,17:00~22:00,"시급10,500",13시간전
서울 성동구,무지개맥주 & 동네포차주민 서울 왕십,17:00~02:30,"월급2,600,000",23시간전
충북 청주시,무지개맥주 & 동네포차주민 서산호수공,17:00~03:00,"시급9,300",02/25
부산 수영구,무지개맥주 & 동네포차주민 부산망미점,18:00~03:00,"시급9,500",02/21
부산 수영구,무지개맥주 & 동네포차주민 부산 수영,19:00~22:00,"시급10,500",02/16
