place,title,time,pay,date
울산 울주군,미스사이공 울산덕신점,시간협의,"시급9,160",17분전
경기 화성시,미스사이공 수원대점,10:30~14:30,"시급9,500",44분전
경기 군포시,미스사이공 군포 당정점,11:00~15:00,"시급9,160",3시간전
서울 전체,미스사이공 신도림점,시간협의,"시급9,160",02/26
전국 전체,미스사이공 망향휴게소점(하행),09:00~21:00,"월급2,500,000",02/22
경기 광명시,미스사이공 광명 어반브릭스점,시간협의,"시급10,992",02/17
경기 수원시,미스사이공 수원 호매실,16:00~21:00,"시급10,000",02/17
서울 은평구,미스사이공 불광점,16:00~21:30,"시급9,500",02/16
전국 전체,미스사이공 매송휴게소점(하행),09:00~21:00,"월급3,000,000",02/13
전국 전체,미스사이공 망향휴게소점(하행),09:00~21:00,"월급2,500,000",02/13
경기 화성시,미스사이공 수원대점,10:00~14:00,"시급9,500",02/13
전국 전체,미스사이공 매송휴게소점(하행),09:00~21:00,"월급3,000,000",02/11
