place,title,time,pay,date
경북 포항시,미카도스시 & 탄광맥주 포항두호점,시간협의,"시급9,160",2시간전
경기 화성시,미카도스시 & 탄광맥주 화성시청점,10:00~10:00,"시급11,000",4시간전
경북 포항시,미카도스시 & 탄광맥주 포항두호점,시간협의,"시급9,160",5시간전
경기 화성시,미카도스시 & 탄광맥주 화성시청점,18:00~09:00,"시급11,000",5시간전
경북 포항시,미카도스시 & 탄광맥주 포항두호점,시간협의,"시급9,160",5시간전
인천 연수구,미카도스시 & 탄광맥주 인천 송도점,09:30~21:30,"월급3,000,000",11시간전
인천 연수구,미카도스시 & 탄광맥주 인천 송도점,09:30~21:30,"월급3,000,000",11시간전
인천 연수구,미카도스시 & 탄광맥주 인천 송도점,09:30~21:30,"월급3,000,000",11시간전
인천 연수구,미카도스시 & 탄광맥주 인천 송도점,09:30~21:30,"월급3,000,000",11시간전
서울 서초구,미카도스시 & 탄광맥주 교대점,시간협의,"시급11,000",12시간전
서울 서초구,미카도스시 & 탄광맥주 교대점,시간협의,"시급11,000",12시간전
서울 서초구,미카도스시 & 탄광맥주 교대점,시간협의,"시급11,000",12시간전
서울 서초구,미카도스시 & 탄광맥주 교대점,시간협의,"시급11,000",12시간전
경기 화성시,미카도스시 & 탄광맥주 동탄카림애비뉴,16:00~21:30,"시급10,000",12시간전
경기 화성시,미카도스시 & 탄광맥주 동탄카림애비뉴,16:00~21:30,"시급10,000",12시간전
경기 화성시,미카도스시 & 탄광맥주 동탄카림애비뉴,16:00~21:30,"시급10,000",12시간전
경기 화성시,미카도스시 & 탄광맥주 동탄카림애비뉴,16:00~21:30,"시급10,000",12시간전
경기 시흥시,미카도스시 & 탄광맥주 배곧점,18:00~22:00,"시급9,160",12시간전
경기 시흥시,미카도스시 & 탄광맥주 배곧점,18:00~22:00,"시급9,160",12시간전
경기 시흥시,미카도스시 & 탄광맥주 배곧점,18:00~22:00,"시급9,160",12시간전
인천 중구,미카도스시 & 탄광맥주 인천영종도하늘,09:30~21:30,"월급3,300,000",12시간전
인천 중구,미카도스시 & 탄광맥주 인천영종도하늘,09:30~21:30,"월급3,300,000",12시간전
인천 중구,미카도스시 & 탄광맥주 인천영종도하늘,09:30~21:30,"월급3,300,000",12시간전
인천 중구,미카도스시 & 탄광맥주 인천영종도하늘,09:30~21:30,"월급3,300,000",12시간전
경기 남양주,미카도스시 & 탄광맥주 별내아이파크점,10:30~21:30,"월급2,700,000",12시간전
경북 포항시,미카도스시 & 탄광맥주 포항두호점,시간협의,"시급9,160",12시간전
인천 중구,미카도스시 & 탄광맥주 인천영종도하늘,09:30~21:30,"월급3,300,000",02/26
경북 포항시,미카도스시 & 탄광맥주 포항두호점,시간협의,"시급9,160",02/25
광주 광산구,미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급3,000,000",02/18
광주 광산구,미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급3,000,000",02/18
광주 광산구,미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급3,000,000",02/18
광주 광산구,미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급3,000,000",02/13
