place,title,time,pay,date
서울 서초구,바스버거 서초교대점,17:00~22:00,"시급10,464",36분전
서울 강남구,바스버거 선릉점,17:00~22:30,"시급10,992",50분전
서울 동대문,바스버거 을지로점,10:30~15:30,"시급9,160",56분전
서울 은평구,바스버거 을지로점,10:30~15:30,"시급10,992",59분전
서울 영등포,바스버거 국회점,09:30~16:00,"시급10,992",1시간전
서울 서초구,바스버거 선릉점,11:00~21:00,"시급10,992",1시간전
서울 강남구,바스버거 선릉점,17:00~22:30,"시급10,992",1시간전
서울 강남구,바스버거 선릉점,11:00~21:00,"시급10,992",1시간전
경기 성남시,바스버거 판교점,11:00~19:00,"시급10,992",2시간전
서울 서대문,바스버거 광화문점,11:30~21:00,"시급10,992",2시간전
서울 서대문,바스버거 광화문점,17:30~22:00,"시급10,992",2시간전
서울 강남구,바스버거 역삼점,16:30~22:30,"시급10,992",3시간전
경기 광주시,바스버거 판교점,11:00~19:00,"시급10,992",4시간전
경기 성남시,바스버거 판교점,09:30~15:30,"시급10,992",4시간전
서울 은평구,바스버거 을지로점,10:30~15:30,"시급10,992",5시간전
서울 서초구,바스버거 서초교대점,17:00~22:00,"시급10,464",6시간전
서울 송파구,바스버거 문정역점,09:30~21:00,"시급10,992",6시간전
서울 강동구,바스버거 문정역점,16:30~22:30,"연봉17,000,000",6시간전
서울 서초구,바스버거 서초교대점,시간협의,"시급10,992",6시간전
서울 강서구,바스버거 마곡점,10:30~22:00,"시급10,992",6시간전
서울 강서구,바스버거 마곡점,10:30~22:00,"시급10,992",6시간전
서울 강서구,바스버거 마곡점,17:00~22:30,"시급9,160",6시간전
서울 강서구,바스버거 마곡점,17:00~22:30,"시급9,160",6시간전
경기 성남시,바스버거 정자점,17:00~22:30,"시급10,992",6시간전
경기 성남시,바스버거 정자점,17:00~22:30,"시급10,992",7시간전
경기 성남시,바스버거 정자점,17:00~22:30,"시급10,992",7시간전
경기 성남시,바스버거 정자점,17:00~22:30,"시급10,992",7시간전
서울 중구,바스버거 을지로점,10:30~15:30,"시급10,992",7시간전
서울 전체,바스버거 용산점,시간협의,"월급2,500,000",7시간전
서울 전체,바스버거 용산점,시간협의,"시급10,990",7시간전
서울 성북구,바스버거 광화문점,17:00~22:00,"시급10,992",7시간전
서울 성북구,바스버거 광화문점,09:30~14:30,"시급10,992",7시간전
서울 동작구,바스버거 여의도점,16:30~22:30,"시급10,992",8시간전
서울 영등포,바스버거 여의도점,16:30~22:30,"시급10,992",8시간전
서울 동작구,바스버거 여의도점,16:30~22:30,"시급10,992",8시간전
서울 양천구,바스버거 여의도점,16:30~22:30,"시급10,992",8시간전
경기 성남시,바스버거 판교점,17:00~22:00,"시급10,992",8시간전
서울 강남구,바스버거 역삼점,16:30~22:30,"시급10,992",9시간전
경기 성남시,바스버거 판교점,17:00~22:00,"시급10,992",9시간전
서울 강남구,바스버거 역삼점,09:00~16:00,"시급10,992",02/26
