place,title,time,pay,date
경기 수원시,배스킨라빈스 수원율전점,시간협의,"시급9,160",2분전
서울 중랑구,베스킨라빈스이마트,16:00~22:00,"시급9,160",7분전
경기 김포시,배스킨라빈스 김포통진점,14:00~18:00,"시급9,160",7분전
서울 마포구,배스킨라빈슨,15:30~19:00,"시급9,160",11분전
대구 북구,베스킨라빈스,18:00~23:00,"시급9,160",15분전
인천 남동구,배스킨라빈스 구월CGV점,14:00~18:00,"시급9,160",16분전
경기 성남시,배스킨라빈스위례창곡점,13:00~18:00,"시급9,160",17분전
경기 성남시,배스킨라빈스 성남도촌점,18:00~23:00,"시급9,160",18분전
서울 강동구,배스킨라빈스,19:00~23:00,"시급9,160",19분전
인천 서구,베스킨라빈스 검암점,14:00~18:00,"시급9,160",21분전
대전 유성구,베스킨라빈스대전노은,시간협의,"시급9,160",23분전
경기 김포시,베스킨라빈스김포고촌점,20:00~23:00,"시급9,160",25분전
경남 진주시,배스킨라빈스 진주혁신도시점,16:00~23:00,"시급9,160",32분전
서울 송파구,배스킨라빈스 잠실새내중앙점,18:00~23:00,"시급9,160",32분전
경기 성남시,배스킨라빈스,10:00~15:00,"시급9,500",34분전
인천 연수구,배스킨라빈스(송도호반에듀시티점),시간협의,"월급2,000,000",39분전
인천 연수구,배스킨라빈스(송도호반에듀시티점),시간협의,"시급9,160",40분전
인천 연수구,배스킨라빈스 송도퍼스트파크,18:00~23:30,"시급9,160",41분전
경기 화성시,베스킨라빈스화성남양점,17:00~22:00,"시급9,160",42분전
전북 군산시,배스킨라빈스군산수송점,18:30~23:00,"시급9,160",43분전
대구 달성군,배스킨라빈스 대구현풍점,19:00~23:00,"시급9,300",48분전
대구 동구,베스킨라빈스 이시아폴리스점,18:00~23:00,"시급9,160",53분전
서울 금천구,배스킨라빈스석수역점,15:30~23:00,"시급9,160",55분전
울산 중구,배스킨라빈스,시간협의,"시급9,160",55분전
서울 구로구,배스킨라빈스 개봉중앙점,18:30~23:00,"시급9,160",1시간전
대구 동구,배스킨라빈스 대구숙천점,시간협의,"시급9,160",1시간전
전북 군산시,배스킨 군산대점,18:00~23:00,"시급9,160",1시간전
서울 금천구,배스킨라빈스석수역점,14:00~23:00,"시급10,992",1시간전
경기 김포시,베스킨라빈스김포고촌점,20:00~23:00,"시급9,160",1시간전
인천 미추홀,베스킨라빈스인천주안점,18:30~23:00,"시급9,160",1시간전
경기 성남시,배스킨라빈스 남한산성역점,18:00~23:00,"시급9,160",1시간전
경기 수원시,배스킨라빈스 수원이마트점,18:00~22:30,"시급9,160",1시간전
서울 관악구,배스킨라빈스서울대입구역점,18:30~23:30,"시급9,200",1시간전
울산 남구,베스킨라빈스,19:00~23:00,"시급9,160",1시간전
서울 금천구,배스킨라빈스 금천가산점,18:00~22:30,"시급9,200",1시간전
서울 영등포,배스킨라빈스당산역점,10:00~13:00,"시급9,200",1시간전
전남 무안군,배스킨라빈스전남무안점,시간협의,"시급9,160",2시간전
경기 화성시,배스킨라빈스 동탄산척신리점,시간협의,"시급9,200",2시간전
서울 금천구,배스킨라빈스석수역점,14:00~23:00,"월급2,250,000",2시간전
경기 화성시,배스킨라빈스 나루마을점,09:00~13:00,"시급9,160",2시간전
