place,title,time,pay,date
인천 남동구,더본코리아 역전우동0410 인천구월점,시간협의,"월급2,200,000",1분전
서울 강서구,더본코리아 홍콩반점0410 마곡나루역,17:00~22:00,"시급10,000",1분전
경남 창원시,홍콩반점0410 창원경남대점,17:30~21:00,"시급9,160",2분전
경기 용인시,더본코리아 홍콩반점0410 수지구청점,10:00~21:00,"월급2,650,000",2분전
경기 남양주,더본코리아 홍콩반점0410 다산진건점,09:30~21:00,"월급3,000,000",2분전
서울 강서구,더본코리아 한신포차 발산역점,06:00~11:00,"시급10,000",2분전
광주 광산구,더본코리아 새마을식당 광주수완점,시간협의,"월급2,500,000",3분전
광주 광산구,더본코리아 새마을식당 광주수완점,18:00~21:00,"시급9,160",3분전
경남 김해시,더본코리아 홍콩반점0410 김해아이스,시간협의,"시급9,160",3분전
서울 강서구,더본코리아 홍콩반점0410 마곡나루역,10:00~22:00,"월급2,750,000",3분전
경기 광명시,더본코리아 홍콩반점0410 광명철산점,10:00~14:00,"시급9,160",3분전
광주 서구,더본코리아 새마을식당 광주금호점,시간협의,"월급2,500,000",4분전
서울 강서구,더본코리아 한신포차 발산역점,시간협의,"시급10,000",4분전
경남 김해시,더본코리아 홍콩반점0410 김해아이스,시간협의,"시급9,160",5분전
경남 진주시,홍콩반점0410 진주혁신도시점,10:30~21:00,"월급2,600,000",6분전
인천 남동구,더본코리아 롤링파스타 인천구월점,12:00~21:30,"시급9,160",7분전
경기 성남시,더본코리아 역전우동0410 야탑역점,16:00~22:30,"시급10,000",8분전
경기 성남시,더본코리아 역전우동0410 야탑역점,16:00~22:30,"시급10,000",8분전
경남 김해시,더본코리아 홍콩반점0410 김해아이스,시간협의,"시급9,160",8분전
경기 평택시,더본코리아 롤링파스타 평택역점,14:00~18:00,"시급9,610",8분전
서울 강서구,더본코리아 홍콩반점0410 마곡나루역,10:30~15:00,"시급9,500",9분전
경남 진주시,홍콩반점0410 진주혁신도시점,10:30~21:00,"월급2,600,000",9분전
경남 진주시,홍콩반점0410 진주혁신도시점,10:30~21:00,"월급2,600,000",9분전
경기 용인시,더본코리아 롤링파스타 광교상현역점,10:00~21:00,"월급2,250,000",10분전
경남 김해시,더본코리아 홍콩반점0410 김해아이스,11:00~21:00,"월급2,600,000",11분전
서울 강동구,더본코리아 홍콩반점0410 명일동점,시간협의,"월급2,800,000",11분전
서울 강서구,더본코리아 홍콩반점0410 마곡나루역,17:00~22:00,"시급10,000",12분전
서울 성동구,더본코리아 연돈볼카츠 왕십리역점,시간협의,"월급2,770,000",13분전
경기 남양주,더본코리아 홍콩반점0410 남양주별내,18:00~21:30,"시급10,000",13분전
경기 남양주,더본코리아 홍콩반점0410 남양주별내,18:00~21:30,"시급10,000",14분전
세종 전체,더본코리아 롤링파스타 세종나성점,10:30~21:00,"월급2,300,000",14분전
경기 오산시,더본코리아 역전우동0410 오산역점,10:00~22:30,"월급3,000,000",16분전
경기 수원시,더본코리아 홍콩반점0410 수원역점,10:00~21:00,"월급2,600,000",16분전
인천 미추홀,더본코리아 홍콩반점0410 주안역점,시간협의,"월급2,600,000",16분전
경기 오산시,더본코리아 역전우동0410 오산역점,10:00~22:30,"월급3,000,000",16분전
경기 안산시,더본코리아 롤링파스타 안산중앙점,10:00~21:30,"월급2,400,000",16분전
대전 중구,더본코리아 홍콩반점0410 대전태평시,10:30~22:30,"월급3,000,000",17분전
경기 안산시,더본코리아 롤링파스타 안산중앙점,시간협의,"시급9,160",17분전
경기 오산시,더본코리아 역전우동0410 오산역점,10:00~22:30,"월급3,000,000",17분전
경기 안산시,더본코리아 롤링파스타 안산중앙점,시간협의,"시급9,160",17분전
