place,title,time,pay,date
서울 동대문,버거킹 장안SK점,시간협의,"시급9,160",1분전
경기 화성시,동탄점,08:00~24:00,"시급9,160",1분전
서울 은평구,버거킹 불광점,시간협의,"시급9,160",4분전
서울 은평구,버거킹 불광점,시간협의,"시급9,160",5분전
인천 남동구,버거킹 인천구월아시아드SK점,시간협의,"시급9,160",6분전
경기 시흥시,버거킹 시흥목감SK점,15:30~24:00,"시급9,160",7분전
울산 동구,울산동구오일뱅크점,09:00~22:00,"시급9,160",8분전
울산 전체,버거킹 울산신정FS점(S),시간협의,"시급9,160",9분전
전북 전주시,전주대광점,시간협의,"시급9,160",10분전
전북 전주시,전주대광점,시간협의,"시급9,160",11분전
서울 노원구,버거킹 하계점,08:00~15:00,"시급9,160",11분전
전북 전주시,전주대광점,시간협의,"시급9,160",12분전
경기 오산시,오산원동FS점,시간협의,"시급9,160",12분전
경기 화성시,버거킹 화성안녕DT점,시간협의,"시급9,160",12분전
경기 화성시,버거킹 화성안녕DT점,시간협의,"시급9,160",13분전
경기 화성시,화성능동FS점,시간협의,"시급9,160",14분전
광주 전체,버거킹 광주주월에스오일점,시간협의,"시급9,160",16분전
충북 청주시,버거킹 오창호수공원점,시간협의,"시급9,160",16분전
서울 송파구,버거킹 문정역점,10:00~17:00,"시급9,160",17분전
광주 전체,버거킹 광주주월에스오일점,시간협의,"시급9,160",17분전
서울 마포구,버거킹 마포구청역점,시간협의,"시급9,160",20분전
경북 포항시,버거킹 포항두호DT점,시간협의,"시급9,160",21분전
경남 김해시,버거킹 김해장유DT점,시간협의,"시급9,160",22분전
서울 용산구,버거킹 서울역점,시간협의,"시급9,160",22분전
서울 용산구,버거킹 서울역점,시간협의,"시급9,160",25분전
경기 화성시,버거킹 화성향남DT점,시간협의,"시급9,160",28분전
서울 은평구,연신내점,시간협의,"시급9,160",28분전
경남 창원시,버거킹 창원상남FS점,시간협의,"시급9,160",29분전
전국 전체,버거킹 청담점,시간협의,"시급9,160",31분전
전국 전체,버거킹 청담점,시간협의,"시급9,160",31분전
전국 전체,버거킹 청담점,시간협의,"시급9,160",31분전
전국 전체,버거킹 청담점,시간협의,"시급9,160",31분전
서울 양천구,버거킹 신월점,시간협의,"시급9,160",33분전
서울 양천구,버거킹 신월점,시간협의,"시급9,160",33분전
서울 양천구,버거킹 신월점,시간협의,"시급9,160",34분전
서울 양천구,버거킹 신월점,시간협의,"시급9,160",34분전
대구 북구,버거킹 대구팔거역점(S),시간협의,"시급9,160",41분전
대구 수성구,버거킹 대구지산점(S),09:00~14:00,"시급9,160",43분전
서울 송파구,버거킹 문정역점,10:00~17:00,"시급9,160",44분전
인천 중구,버거킹 인천공항교통센터1점,시간협의,"시급9,160",50분전
