place,title,time,pay,date
서울 강남구,사보텐 압구정역점,11:00~15:30,"시급9,160",1시간전
서울 성북구,(주)캘리스코 현대미아점,12:00~22:00,"시급9,160",2시간전
서울 서초구,사보텐 교대역점,시간협의,"시급9,160",3시간전
경남 전체,사보텐 창원시티세븐몰,시간협의,"연봉27,000,000",4시간전
경기 의정부,(주)캘리스코,시간협의,"시급9,160",4시간전
서울 성북구,(주)캘리스코 현대미아점,09:30~16:00,"시급9,160",4시간전
서울 강남구,(주)캘리스코 사보텐 압구정본점,시간협의,"시급9,160",6시간전
서울 관악구,(주)캘리스코 사보텐신논현점,12:00~16:00,"시급10,800",6시간전
서울 강남구,사보텐 압구정역점,11:00~15:30,"시급9,160",7시간전
서울 강남구,사보텐 선릉역점,시간협의,"시급9,160",7시간전
서울 동대문,사보텐 청량리역사점,12:30~20:00,"시급9,160",8시간전
서울 동대문,사보텐 청량리역사점,00:00~24:00,"시급9,160",8시간전
서울 동대문,사보텐 청량리역사점,17:00~22:00,"시급9,160",8시간전
광주 서구,사보텐 신세계광주점,12:00~20:30,"시급9,160",9시간전
서울 서초구,사보텐 신논현점,12:00~17:00,"시급10,808",11시간전
경남 전체,사보텐 창원시티세븐몰,시간협의,"연봉27,000,000",12시간전
경기 안양시,(주)캘리스코,시간협의,"시급9,160",02/26
서울 강남구,사보텐 압구정역점,17:30~21:30,"시급9,160",02/26
서울 강남구,사보텐 압구정역점,11:00~15:30,"시급9,160",02/26
경남 창원시,사보텐 신세계마산점,시간협의,"연봉27,000,000",02/25
서울 강남구,사보텐 선릉역점,시간협의,"시급9,160",02/25
부산 전체,(주)캘리스코 히바린 롯데부산본점,12:00~16:00,"시급9,160",02/25
서울 서초구,사보텐 신논현점,17:00~22:00,"시급10,308",02/25
경남 전체,사보텐 창원시티세븐몰,시간협의,"연봉27,000,000",02/25
서울 마포구,(주)캘리스코 사보텐 공덕역점,시간협의,"시급9,160",02/23
서울 강동구,(주)캘리스코 히바린 현대천호점,11:30~15:00,"시급9,160",02/23
충북 청주시,주식회사 캘리스코 사보텐 청주 터미널,10:00~21:30,"연봉32,000,000",02/23
경기 여주시,(주)캘리스코 히바린 여주첼시점,시간협의,"시급10,000",02/23
서울 서초구,사보텐 교대역점,시간협의,"시급9,160",02/19
서울 강남구,사보텐 선릉역점,시간협의,"시급9,160",02/19
서울 강남구,(주)캘리스코,17:30~22:00,"시급9,160",02/18
경기 의정부,(주)캘리스코,시간협의,"시급9,160",02/17
서울 서초구,(주)캘리스코,시간협의,"시급9,160",02/11
