place,title,time,pay,date
전남 목포시,상무초밥 목포점,시간협의,"월급3,100,000",2분전
전남 목포시,상무초밥 목포점,시간협의,"월급3,100,000",9분전
전남 여수시,상무초밥 낭만포차거리점,시간협의,"월급4,000,000",18분전
울산 남구,상무초밥 울산삼산점,시간협의,"시급9,160",1시간전
경남 진주시,상무초밥 진주점,시간협의,"월급3,500,000",1시간전
전북 익산시,상무초밥 익산점,09:00~20:00,"월급2,600,000",1시간전
인천 연수구,상무초밥 송도점,시간협의,"월급2,500,000",1시간전
경남 창원시,상무초밥 창원점,10:30~10:30,"월급2,650,000",2시간전
경남 창원시,상무초밥 창원점,10:30~10:30,"시급9,200",2시간전
충남 천안시,상무초밥 신불당점,시간협의,"시급9,160",2시간전
전북 익산시,상무초밥 익산점,09:00~20:00,"월급2,600,000",2시간전
경기 안산시,상무초밥 안산중앙동점,시간협의,"월급2,800,000",2시간전
경남 창원시,상무초밥 창원점,10:30~10:30,"월급2,650,000",3시간전
대전 서구,상무초밥 대전둔산점,시간협의,"월급2,940,000",3시간전
충남 천안시,상무초밥 신불당점,시간협의,"시급9,160",3시간전
충남 천안시,상무초밥 신불당점,시간협의,"시급9,160",3시간전
경기 군포시,상무초밥 산본점,10:00~21:00,"월급4,500,000",3시간전
인천 연수구,상무초밥 송도점,시간협의,"월급2,500,000",3시간전
서울 강서구,상무초밥 상무초밥 등촌점,18:00~22:00,"월급3,000,000",3시간전
전북 전주시,상무초밥 전주송천점,시간협의,"월급2,600,000",3시간전
서울 강서구,상무초밥 상무초밥 등촌점,18:00~22:00,"월급3,000,000",3시간전
서울 강서구,상무초밥 상무초밥 등촌점,18:00~22:00,"월급3,000,000",3시간전
서울 강서구,상무초밥 상무초밥 등촌점,18:00~22:00,"월급3,000,000",3시간전
경기 안산시,상무초밥 안산중앙동점,시간협의,"월급2,800,000",4시간전
울산 남구,상무초밥 울산삼산점,시간협의,"월급2,620,000",4시간전
전남 여수시,상무초밥 낭만포차거리점,시간협의,"월급4,000,000",4시간전
전남 여수시,상무초밥 낭만포차거리점,시간협의,"월급4,000,000",4시간전
울산 남구,상무초밥 울산삼산점,10:00~17:00,"시급9,160",4시간전
부산 전체,상무초밥 해운대센텀점,시간협의,"월급2,940,000",4시간전
대전 서구,상무초밥 대전둔산점,시간협의,"시급9,160",4시간전
대구 수성구,상무초밥 대구범어점,시간협의,"월급4,000,000",5시간전
대구 수성구,상무초밥 대구범어점,시간협의,"월급4,000,000",5시간전
전남 여수시,상무초밥 낭만포차거리점,시간협의,"월급4,000,000",5시간전
전남 여수시,상무초밥 낭만포차거리점,시간협의,"월급4,000,000",5시간전
경기 안산시,상무초밥 안산중앙동점,시간협의,"월급2,800,000",6시간전
경기 안산시,상무초밥 안산중앙동점,시간협의,"월급2,800,000",6시간전
인천 연수구,상무초밥 송도점,시간협의,"월급2,500,000",6시간전
충북 청주시,상무초밥 청주점,시간협의,"월급2,800,000",6시간전
충북 청주시,상무초밥 청주점,시간협의,"월급2,800,000",6시간전
충북 청주시,상무초밥 청주점,시간협의,"월급2,800,000",6시간전
