place,title,time,pay,date
서울 중랑구,성원아이북랜드 동대문중랑성동영업본부,시간협의,"월급2,000,000",43분전
서울 영등포,성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",4시간전
서울 양천구,성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",4시간전
서울 강서구,성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",4시간전
대구 달서구,성원아이북랜드 대구달서달성영업본부,시간협의,"월급1,200,000",4시간전
대구 달성군,성원아이북랜드 대구달서달성영업본부,시간협의,"월급1,200,000",4시간전
대구 동구,성원아이북랜드 대구동부시지영업본부,시간협의,"건별45,000",5시간전
경기 고양시,성원아이북랜드 덕양영업본부,시간협의,"월급1,000,000",5시간전
경기 고양시,성원아이북랜드 덕양영업본부,시간협의,"월급1,000,000",5시간전
서울 송파구,성원아이북랜드 송파영업본부,시간협의,"시급10,000",5시간전
서울 송파구,성원아이북랜드 송파영업본부,시간협의,"시급10,000",5시간전
서울 송파구,성원아이북랜드 송파영업본부,시간협의,"시급10,000",5시간전
경기 하남시,성원아이북랜드 하남영업본부,시간협의,"월급1,000,000",6시간전
경기 하남시,성원아이북랜드 하남영업본부,시간협의,"월급1,000,000",6시간전
경기 성남시,성원아이북랜드 성남분당영업본부,10:00~20:00,"시급25,000",6시간전
경기 성남시,성원아이북랜드 성남분당영업본부,10:00~20:00,"시급25,000",6시간전
충남 아산시,성원아이북랜드 아산영업본부,시간협의,"건별38,000",6시간전
충남 아산시,성원아이북랜드 아산영업본부,시간협의,"건별38,000",6시간전
충남 당진시,성원아이북랜드 아산B영업본부,시간협의,"건별42,000",6시간전
충남 당진시,성원아이북랜드 아산B영업본부,시간협의,"건별38,000",7시간전
서울 성동구,성원아이북랜드 동대문중랑성동영업본부,시간협의,"월급2,000,000",7시간전
대전 전체,성원아이북랜드 대전문화영업본부,시간협의,"월급1,500,000",7시간전
경기 평택시,성원아이북랜드 평택안성영업본부,시간협의,"건별38,000",7시간전
대전 중구,성원아이북랜드 대전문화영업본부,시간협의,"건별30,000",7시간전
부산 강서구,성원아이북랜드 부산서부영업본부,시간협의,"시급9,160",10시간전
부산 영도구,성원아이북랜드 부산서부영업본부,14:00~20:00,"시급9,160",10시간전
부산 사하구,성원아이북랜드 부산서부영업본부,14:00~20:00,"시급9,160",11시간전
대구 동구,성원아이북랜드 대구동부시지영업본부,시간협의,"건별45,000",14시간전
서울 동작구,성원아이북랜드 동작관악영업본부,시간협의,"월급1,000,000",02/26
경남 김해시,성원아이북랜드 김해창원영업본부,시간협의,"월급1,000,000",02/26
경남 김해시,성원아이북랜드 김해창원영업본부,시간협의,"월급1,000,000",02/26
경남 창원시,성원아이북랜드 김해창원영업본부,시간협의,"월급1,000,000",02/26
경기 수원시,성원아이북랜드 수원영업본부,14:30~18:00,"건별35,000",02/26
경기 수원시,성원아이북랜드 수원영업본부,14:30~18:00,"건별35,000",02/26
경남 양산시,성원아이북랜드 부산북구양산영업본부,시간협의,"시급20,000",02/26
부산 동구,성원아이북랜드 부산중부영업본부,14:00~22:00,"건별30,000",02/26
부산 부산진,성원아이북랜드 부산중부영업본부,14:00~22:00,"건별30,000",02/26
대전 서구,성원아이북랜드 대전둔산유성영업본부,시간협의,"월급2,000,000",02/26
대전 서구,성원아이북랜드 대전둔산유성영업본부,시간협의,"월급2,000,000",02/26
대전 서구,성원아이북랜드 대전둔산유성영업본부,시간협의,"월급2,000,000",02/26
