place,title,time,pay,date
서울 은평구,송사부수제쌀고로케 이마트 은평점,시간협의,"시급9,160",4시간전
부산 사하구,송사부수제쌀고로케 아트몰링부산,17:00~22:00,"시급9,160",4시간전
경기 남양주,송사부수제쌀고로케 이마트 별내점,시간협의,"시급9,160",4시간전
경기 김포시,송사부수제쌀고로케 이마트 김포한강,08:00~18:00,"월급2,500,000",5시간전
부산 남구,송사부수제쌀고로케 이마트 문현점,17:30~21:00,"시급10,000",8시간전
인천 전체,송사부수제쌀고로케 이마트 연수점,16:00~22:00,"시급9,160",10시간전
경기 김포시,송사부수제쌀고로케 이마트 김포한강,시간협의,"시급9,160",11시간전
경기 김포시,송사부수제쌀고로케 이마트 김포한강,13:00~22:00,"월급2,200,000",11시간전
경기 김포시,송사부수제쌀고로케 이마트 김포한강,13:00~22:00,"월급2,200,000",11시간전
경기 파주시,송사부수제쌀고로케 이마트 파주운정점,18:30~20:30,"시급10,500",11시간전
경기 파주시,송사부수제쌀고로케 이마트 파주운정점,18:30~20:30,"시급10,500",11시간전
경기 파주시,송사부수제쌀고로케 이마트 파주운정점,18:30~20:30,"시급10,500",11시간전
경기 전체,송사부수제쌀고로케 이마트 파주운정점,12:00~16:00,"시급10,000",11시간전
인천 전체,송사부수제쌀고로케 이마트 연수점,16:00~22:00,"시급9,160",11시간전
충북 청주시,송사부수제쌀고로케 청주하나로마트,16:00~20:00,"시급9,160",02/24
서울 서초구,송사부수제쌀고로케 남부터미널점,08:00~13:00,"시급9,160",02/22
서울 서초구,송사부수제쌀고로케 남부터미널점,08:00~13:00,"시급9,160",02/22
서울 서초구,송사부수제쌀고로케 남부터미널점,08:00~13:00,"시급9,160",02/22
서울 서초구,송사부수제쌀고로케 남부터미널점,08:00~13:00,"시급9,160",02/22
서울 송파구,송사부수제쌀고로케 NC 송파점,12:00~22:00,"시급9,160",02/22
서울 송파구,송사부수제쌀고로케 NC 송파점,12:00~22:00,"시급9,160",02/22
서울 송파구,송사부수제쌀고로케 NC 송파점,12:00~22:00,"시급9,160",02/22
경기 성남시,송사부수제쌀고로케 이마트 분당점,17:30~21:30,"시급9,500",02/22
경기 성남시,송사부수제쌀고로케 이마트 분당점,13:30~22:30,"월급2,000,000",02/22
경기 성남시,송사부수제쌀고로케 이마트 분당점,13:30~22:30,"월급2,000,000",02/22
경기 성남시,송사부수제쌀고로케 이마트 분당점,17:30~21:30,"시급9,500",02/22
울산 울주군,송사부수제쌀고로케 메마트 언양점,17:30~08:30,"시급9,160",02/18
울산 울주군,송사부수제쌀고로케 메마트 언양점,17:30~08:30,"시급9,160",02/18
울산 울주군,송사부수제쌀고로케 메마트 언양점,17:30~08:30,"시급9,160",02/18
경기 고양시,송사부수제쌀고로케 이마트 풍산점,15:00~21:00,"시급9,500",02/17
경기 고양시,송사부수제쌀고로케 이마트 풍산점,09:00~15:00,"시급9,160",02/17
경남 거제시,송사부수제쌀고로케 HP 거제점,15:30~22:00,"시급9,160",02/14
서울 강서구,송사부수제쌀고로케 NC 강서점,08:00~18:00,"월급2,400,000",02/11
