place,title,time,pay,date
경기 김포시,쉬즈베이글커피 김포운영점,08:00~16:00,"시급10,000",13시간전
경기 김포시,쉬즈베이글커피 김포운영점,시간협의,"시급9,500",13시간전
경기 김포시,쉬즈베이글커피 김포운영점,시간협의,"시급9,500",13시간전
경기 김포시,쉬즈베이글커피 김포운영점,08:00~16:00,"시급10,000",13시간전
서울 서초구,쉬즈베이글커피 교대점,시간협의,"시급9,160",13시간전
서울 서초구,쉬즈베이글커피 교대점,시간협의,"시급9,160",13시간전
서울 서초구,쉬즈베이글커피 교대점,시간협의,"시급9,160",13시간전
서울 서초구,쉬즈베이글커피 교대점,시간협의,"시급9,160",13시간전
서울 관악구,쉬즈베이글커피 신림점,시간협의,"시급9,160",13시간전
서울 관악구,쉬즈베이글커피 신림점,시간협의,"시급9,160",13시간전
서울 관악구,쉬즈베이글커피 신림점,시간협의,"시급9,160",13시간전
서울 관악구,쉬즈베이글커피 신림점,시간협의,"시급9,160",13시간전
