place,title,time,pay,date
경기 의정부,슈퍼히어로 의정부A,시간협의,"일급300,000",1시간전
경기 광명시,슈퍼히어로 광명센터,10:00~02:30,"건별4,300",5시간전
경기 광명시,슈퍼히어로 광명센터,10:00~02:30,"건별4,300",5시간전
경기 광명시,슈퍼히어로 광명센터,10:00~02:30,"건별4,300",5시간전
서울 구로구,슈퍼히어로 구로서부센터,10:00~14:00,"건별4,500",6시간전
서울 금천구,슈퍼히어로 슈퍼히어로 금천,10:00~14:00,"건별4,500",6시간전
서울 금천구,슈퍼히어로 슈퍼히어로 가산,10:00~14:00,"건별4,500",6시간전
경기 의정부,슈퍼히어로 의정부 슈퍼터틀,시간협의,"일급250,000",6시간전
경기 의정부,슈퍼히어로 의정부 슈퍼터틀,시간협의,"일급250,000",6시간전
경기 구리시,슈퍼히어로 갈매별내지사,10:00~01:00,"일급200,000",7시간전
경기 의정부,슈퍼히어로 의정부A,시간협의,"일급300,000",7시간전
부산 강서구,슈퍼히어로 부산바른콜,시간협의,"시급20,000",7시간전
부산 강서구,슈퍼히어로 부산바른콜,시간협의,"시급20,000",7시간전
경기 시흥시,슈퍼히어로 시흥시센터,시간협의,"일급200,000",8시간전
경기 시흥시,슈퍼히어로 시흥시센터,시간협의,"일급250,000",8시간전
경기 시흥시,슈퍼히어로 시흥시센터,시간협의,"일급200,000",8시간전
서울 관악구,슈퍼히어로 관악빵빵지사,시간협의,"일급300,000",02/22
서울 관악구,슈퍼히어로 관악빵빵지사,10:00~16:30,"일급300,000",02/22
서울 관악구,슈퍼히어로 관악빵빵지사,시간협의,"일급300,000",02/22
경기 의정부,슈퍼히어로 의정부G,시간협의,"건별4,000",02/21
경기 남양주,슈퍼히어로 갈매별내지사,10:00~01:00,"일급200,000",02/17
대구 전체,슈퍼히어로 대구수성지사,시간협의,"건별3,500",02/15
대구 전체,슈퍼히어로 대구수성지사,시간협의,"건별3,500",02/15
대구 전체,슈퍼히어로 대구수성지사,시간협의,"건별3,500",02/15
