place,title,time,pay,date
경기 고양시,슈펜 일산 (뉴코아아울렛),14:00~21:00,"시급9,160",9시간전
경기 고양시,슈펜 일산 (뉴코아아울렛),14:00~21:00,"시급9,160",9시간전
서울 마포구,슈펜 용산 (아이파크몰),14:00~21:00,"시급9,160",9시간전
서울 영등포,슈펜 용산 (아이파크몰),13:00~22:00,"시급9,160",9시간전
서울 동대문,슈펜 청량리 (롯데백화점),12:00~21:00,"월급2,014,440",02/25
서울 동대문,슈펜 청량리 (롯데백화점),13:00~20:00,"시급9,160",02/25
서울 중랑구,슈펜 청량리 (롯데백화점),13:00~20:00,"시급9,160",02/25
서울 서대문,슈펜 홍대,13:00~22:00,"월급2,014,440",02/25
경기 고양시,슈펜 일산 (뉴코아아울렛),13:00~22:00,"월급2,014,440",02/25
경기 고양시,슈펜 일산 (뉴코아아울렛),13:00~22:00,"월급2,014,440",02/25
서울 용산구,슈펜 용산 (아이파크몰),13:00~22:00,"월급2,014,440",02/25
서울 영등포,슈펜 용산 (아이파크몰),13:00~22:00,"월급2,014,440",02/25
서울 영등포,슈펜 영등포 (타임스퀘어),13:00~22:00,"월급2,014,440",02/25
경기 성남시,슈펜 야탑 (NC백화점),13:00~22:00,"월급2,014,440",02/25
경기 성남시,슈펜 야탑 (NC백화점),13:00~22:00,"월급2,014,440",02/25
서울 강동구,슈펜 송파 (NC백화점),13:00~22:00,"월급2,014,440",02/25
서울 송파구,슈펜 송파 (NC백화점),14:00~21:00,"시급9,160",02/25
서울 강동구,슈펜 송파 (NC백화점),14:00~21:00,"시급9,160",02/25
경기 부천시,슈펜 부천 (뉴코아아울렛),13:00~22:00,"월급2,014,440",02/25
경기 부천시,슈펜 부천 (뉴코아아울렛),13:00~22:00,"월급2,014,440",02/25
대구 중구,슈펜 동성로,13:00~22:00,"월급2,014,440",02/25
경기 안산시,슈펜 고잔 (NC백화점),13:00~22:00,"월급2,014,440",02/25
경기 안산시,슈펜 고잔 (NC백화점),13:00~22:00,"월급2,014,440",02/25
서울 은평구,슈펜 슈펜 고양 (스타필드),13:00~22:00,"월급2,014,440",02/25
서울 동작구,슈펜 강남역 1호 (점프밀라노),13:00~22:00,"월급2,014,440",02/25
서울 관악구,슈펜 강남역 1호 (점프밀라노),13:00~22:00,"월급2,014,440",02/25
서울 동작구,슈펜 강남역 1호 (점프밀라노),14:00~21:00,"시급9,160",02/25
서울 관악구,슈펜 강남역 1호 (점프밀라노),14:00~21:00,"시급9,160",02/25
