place,title,time,pay,date
제주 서귀포,스타벅스 제주중문DT,07:00~22:00,"시급10,000",7분전
서울 영등포,스타벅스 영등포구청역,시간협의,"시급10,000",8분전
서울 송파구,스타벅스 송파위례,06:30~21:30,"시급10,000",15분전
서울 양천구,스타벅스 현대목동,07:00~23:00,"시급10,000",17분전
경북 구미시,스타벅스 구미확장단지,07:30~22:30,"시급10,000",23분전
경기 이천시,스타벅스 이천하이닉스,시간협의,"시급10,000",24분전
전남 여수시,스타벅스 여수학동DT,시간협의,"시급10,000",24분전
광주 서구,스타벅스 광주신세계DT,시간협의,"시급10,000",29분전
경기 성남시,스타벅스 야탑글라스,06:30~21:30,"시급10,000",31분전
서울 영등포,스타벅스 여의도IFC몰(L1)R,07:00~23:00,"시급10,000",31분전
서울 강남구,스타벅스 역삼초교사거리,시간협의,"시급10,000",37분전
서울 송파구,스타벅스 문정역,시간협의,"시급10,000",37분전
광주 동구,스타벅스 광주무등산,시간협의,"시급10,000",43분전
경기 안성시,스타벅스 안성석정DT,시간협의,"시급10,000",46분전
세종 전체,스타벅스 세종보람,시간협의,"시급10,000",51분전
경기 용인시,스타벅스 용인동백DT,시간협의,"시급10,000",55분전
전북 군산시,스타벅스 군산수송,시간협의,"시급10,000",56분전
전남 나주시,스타벅스 나주혁신DT,시간협의,"시급10,000",56분전
경기 전체,스타벅스 여주P.아울렛,시간협의,"시급10,000",59분전
경기 전체,스타벅스 야탑터미널,시간협의,"시급10,000",1시간전
서울 은평구,스타벅스 구파발사거리,시간협의,"시급10,000",1시간전
충북 청주시,스타벅스 청주오송,06:30~23:00,"시급10,000",1시간전
세종 전체,스타벅스 세종소담,07:00~22:00,"시급10,000",1시간전
세종 전체,스타벅스 세종종촌,시간협의,"시급10,000",1시간전
세종 전체,스타벅스 세종다정DT,시간협의,"시급10,000",1시간전
경기 용인시,스타벅스 동백이마트,시간협의,"시급10,000",1시간전
경기 용인시,스타벅스 용인상하DT,시간협의,"시급10,000",1시간전
세종 전체,스타벅스 세종종촌,시간협의,"시급10,000",2시간전
경기 용인시,스타벅스 용인보정,06:30~19:30,"시급10,000",2시간전
세종 도담동,스타벅스 세종충남대학교병원,06:30~21:30,"시급10,000",2시간전
전북 군산시,스타벅스 군산수송DT,시간협의,"시급10,000",2시간전
경기 평택시,스타벅스 오산AB,06:00~20:00,"시급10,000",2시간전
광주 동구,스타벅스 광주지산DT,시간협의,"시급10,000",2시간전
충남 천안시,스타벅스 천안업성레이크,시간협의,"시급10,000",2시간전
충남 보령시,스타벅스 충남보령DT,시간협의,"시급10,000",2시간전
제주 서귀포,스타벅스 제주송악산,시간협의,"시급10,000",2시간전
전북 군산시,스타벅스 군산대,시간협의,"시급10,000",2시간전
경기 성남시,스타벅스 오리역,시간협의,"시급10,000",2시간전
세종 전체,스타벅스 세종다정DT,시간협의,"시급10,000",2시간전
서울 강남구,스타벅스 역삼초교사거리,시간협의,"시급10,000",2시간전
