place,title,time,pay,date
인천 미추홀,신선화로 숭의점,10:00~22:00,"시급9,200",7시간전
인천 남동구,신선화로 도림점,10:00~22:00,"연봉48,000,000",7시간전
인천 남동구,신선화로 도림점,10:00~22:00,"연봉48,000,000",7시간전
인천 남동구,신선화로 도림점,10:00~22:00,"시급9,200",7시간전
인천 남동구,신선화로 도림점,10:00~22:00,"시급9,200",7시간전
인천 연수구,신선화로 동춘점,10:00~22:00,"연봉48,000,000",10시간전
인천 연수구,신선화로 동춘점,10:00~22:00,"연봉48,000,000",10시간전
인천 연수구,신선화로 동춘점,10:00~22:00,"연봉48,000,000",10시간전
인천 연수구,신선화로 동춘점,10:00~22:00,"연봉48,000,000",10시간전
인천 남동구,신선화로 인천시청점,10:00~22:00,"시급9,400",10시간전
인천 남동구,신선화로 인천시청점,10:00~22:00,"시급9,400",11시간전
인천 남동구,신선화로 인천시청점,10:00~22:00,"시급9,400",11시간전
인천 부평구,신선화로 부평점,시간협의,"시급9,400",02/26
인천 부평구,신선화로 부평점,시간협의,"시급9,400",02/26
인천 부평구,신선화로 부평점,시간협의,"시급9,400",02/23
인천 부평구,신선화로 부평점,10:00~20:00,"연봉48,000,000",02/23
서울 마포구,신선화로 본사,10:00~22:00,"연봉48,000,000",02/23
서울 양천구,신선화로 본사,10:00~22:00,"연봉48,000,000",02/23
인천 서구,신선화로 본사,10:00~22:00,"연봉48,000,000",02/23
인천 서구,신선화로 본사,10:00~22:00,"연봉48,000,000",02/23
인천 남동구,신선화로 인천시청점,10:00~22:00,"연봉48,000,000",02/20
서울 마포구,신선화로 홍대점(착한갈비),10:00~22:00,"연봉48,000,000",02/20
서울 마포구,신선화로 홍대점(착한갈비),11:00~23:00,"월급2,700,000",02/20
서울 마포구,신선화로 홍대점(착한갈비),11:00~23:00,"월급2,700,000",02/20
서울 마포구,신선화로 홍대점(착한갈비),11:00~23:00,"월급2,700,000",02/20
