place,title,time,pay,date
서울 마포구,노브랜드버거 신촌점,17:30~23:00,"시급9,340",1분전
서울 서대문,노브랜드버거 신촌점,17:30~23:00,"시급9,340",1분전
서울 동작구,노브랜드버거 노량진점,17:00~22:30,"시급9,340",2분전
서울 강북구,(주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급1,952,060",20분전
서울 중구,(주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급1,952,060",29분전
서울 중랑구,노브랜드버거 중랑역점,13:30~22:30,"시급9,340",32분전
서울 용산구,(주)신세계푸드 베키아에누보 본점,11:00~20:00,"월급1,952,060",40분전
서울 성동구,Test Kitchen 성수점,12:00~18:30,"시급9,340",41분전
서울 종로구,(주)신세계푸드 베키아에누보 본점,11:00~20:00,"월급1,952,060",51분전
서울 중구,노브랜드버거 을지로4가역점,11:00~20:00,"시급9,340",55분전
서울 송파구,테스트키친 피자,시간협의,"시급9,500",1시간전
서울 관악구,테스트키친 피자,시간협의,"시급9,500",1시간전
서울 광진구,테스트키친 피자,시간협의,"시급10,000",1시간전
서울 동작구,테스트키친 피자,시간협의,"시급10,000",1시간전
인천 남동구,노브랜드버거 인천구월점,시간협의,"시급9,340",1시간전
서울 광진구,노브랜드버거 대치대원빌딩점,시간협의,"시급9,340",1시간전
서울 송파구,노브랜드버거 대치대원빌딩점,시간협의,"시급9,340",2시간전
경기 용인시,노브랜드버거 상현역점,시간협의,"시급9,160",2시간전
서울 전체,신세계푸드 노브랜드버거,시간협의,"시급9,340",2시간전
서울 종로구,노브랜드버거 을지로4가역점,11:00~20:00,"시급9,340",2시간전
경기 용인시,노브랜드버거 상현역점,시간협의,"시급9,160",2시간전
경기 용인시,노브랜드버거 상현역점,시간협의,"월급2,200,000",2시간전
서울 금천구,신세계푸드 NBB 가산디지털단지점,11:00~17:30,"시급9,340",2시간전
서울 동작구,노브랜드버거 노량진점,17:30~22:30,"시급9,340",2시간전
서울 동작구,노브랜드버거 노량진점,11:00~12:00,"시급9,340",3시간전
서울 전체,노브랜드버거 종로구청점,시간협의,"시급9,340",3시간전
경기 용인시,노브랜드버거 상현역점,시간협의,"시급9,160",3시간전
서울 성북구,노브랜드버거 을지로4가역점,11:00~20:00,"시급9,340",3시간전
서울 중랑구,노브랜드버거 중랑역점,13:30~22:30,"시급9,340",3시간전
부산 해운대,신세계푸드 이마트 해운대점 직원식당,10:30~18:30,"시급9,340",3시간전
서울 은평구,(주)신세계푸드 베키아에누보 본점,11:00~20:00,"월급1,952,060",3시간전
부산 해운대,신세계푸드 이마트 해운대점 직원식당,10:30~18:30,"시급10,000",3시간전
서울 성동구,노브랜드버거 신금호역점,17:30~22:30,"시급9,340",4시간전
서울 전체,보노보노 플러스 삼성점,12:00~22:00,"시급9,340",7시간전
서울 전체,보노보노 플러스 삼성점,13:00~22:00,"시급9,340",7시간전
인천 남동구,노브랜드버거 인천구월점,시간협의,"시급9,340",11시간전
경기 용인시,노브랜드버거 상현역점,시간협의,"시급9,160",23시간전
서울 금천구,신세계푸드 NBB 가산디지털단지점,11:00~20:00,"시급9,340",02/26
경북 영천시,신세계푸드,08:00~17:00,"월급1,952,060",02/26
경기 평택시,신세계푸드 NBB안성스타필드점,시간협의,"시급9,340",02/26
