place,title,time,pay,date
세종 전체,아소비 세종유성지사,14:00~18:00,"월급2,000,000",13분전
세종 전체,아소비 세종유성지사,14:00~18:00,"월급2,000,000",13분전
세종 전체,아소비 세종유성지사,14:00~18:00,"월급2,000,000",14분전
대구 달서구,아소비 대구달서달성지사,시간협의,"월급1,800,000",17분전
대구 달서구,아소비 대구달서달성지사,시간협의,"월급1,800,000",18분전
경기 여주시,아소비 여주지사,13:30~18:30,"월급2,000,000",30분전
경기 여주시,아소비 여주지사,13:30~18:30,"월급2,000,000",30분전
경기 여주시,아소비 여주지사,13:30~18:30,"월급2,000,000",30분전
경기 이천시,아소비 이천지사,13:30~18:30,"월급2,000,000",31분전
경기 이천시,아소비 이천지사,13:30~18:30,"월급2,000,000",31분전
경기 광주시,아소비 경기광주지사,13:30~18:30,"월급2,000,000",31분전
경기 광주시,아소비 경기광주지사,13:30~18:30,"월급2,000,000",31분전
전북 익산시,아소비 전북지사,14:00~18:00,"월급1,700,000",49분전
경북 포항시,아소비 포항경주지사,13:00~19:00,"월급2,000,000",49분전
경북 포항시,아소비 포항경주지사,13:00~19:00,"월급2,000,000",49분전
경북 경주시,아소비 포항경주지사,13:00~19:00,"월급2,000,000",49분전
전북 익산시,아소비 전북지사,14:00~18:00,"월급1,700,000",53분전
경남 김해시,아소비 김해양산지사,15:00~19:00,"월급1,700,000",58분전
경남 김해시,아소비 김해양산지사,13:00~19:00,"월급1,700,000",58분전
경남 김해시,아소비 김해양산지사,13:00~19:00,"월급1,700,000",59분전
경기 군포시,아소비 군포의왕지사,14:00~18:00,"월급2,000,000",1시간전
경기 군포시,아소비 군포의왕지사,14:00~18:00,"월급2,000,000",1시간전
경기 안양시,아소비 안양과천지사,14:00~18:00,"주급2,000,000",1시간전
경기 부천시,아소비 부천시흥지사,10:00~15:00,"시급10,000",1시간전
경기 과천시,아소비 안양과천지사,14:00~18:00,"월급2,000,000",1시간전
경기 화성시,아소비 수원화성오산지사,13:00~18:00,"월급1,800,000",1시간전
경기 화성시,아소비 수원화성오산지사,13:00~18:00,"월급1,800,000",1시간전
경기 화성시,아소비 수원화성오산지사,13:00~18:00,"월급1,800,000",1시간전
서울 관악구,아소비 관악지사,13:00~19:00,"월급2,000,000",2시간전
경기 하남시,아소비 하남지사,14:00~19:00,"월급2,000,000",3시간전
경기 하남시,아소비 하남지사,14:00~19:00,"월급2,000,000",3시간전
경기 하남시,아소비 하남지사,14:00~19:00,"월급2,000,000",3시간전
서울 송파구,아소비 송파강동지사,14:00~19:00,"월급2,000,000",3시간전
서울 송파구,아소비 송파강동지사,13:00~19:00,"월급2,000,000",3시간전
부산 남구,아소비 부산남부지사,13:00~18:00,"월급1,600,000",4시간전
부산 부산진,아소비 부산남부지사,13:00~18:00,"월급1,600,000",4시간전
경북 경산시,아소비 경산지사,13:30~18:30,"월급2,000,000",4시간전
서울 노원구,아소비 동북지사(노원/중랑),14:00~19:00,"월급2,000,000",4시간전
서울 중랑구,아소비 동북지사(노원/중랑),14:00~19:00,"월급2,000,000",4시간전
서울 중랑구,아소비 동북지사(노원/중랑),14:00~19:00,"월급2,000,000",4시간전
