place,title,time,pay,date
서울 마포구,아워홈 LG마포점,11:30~14:30,"시급9,160",4분전
강원 춘천시,아워홈 더플레이어스GC춘천점,시간협의,"월급2,200,000",43분전
인천 연수구,아워홈 포스코타워송도점,07:00~16:30,"시급9,340",2시간전
서울 성북구,아워홈 국민대성북점,10:00~14:30,"시급9,160",2시간전
경기 안양시,아워홈 대림대학점,09:00~16:00,"시급10,206",2시간전
경기 안양시,아워홈 대림대학점,09:00~16:00,"월급1,700,000",2시간전
부산 금정구,아워홈 부산외국어대학교점,시간협의,"시급9,160",4시간전
경기 부천시,아워홈 삼성미래산후조리원부천점,05:30~14:30,"시급9,160",4시간전
인천 연수구,아워홈 포스코타워송도점,07:00~16:30,"시급9,500",4시간전
부산 금정구,아워홈 부산외국어대학교점,시간협의,"시급9,160",5시간전
경북 영천시,아워홈 진양특수강영천점,09:00~14:30,"시급9,160",5시간전
경기 부천시,아워홈 시온고등학교부천점,09:30~02:30,"시급9,160",5시간전
경기 전체,아워홈 GS홈쇼핑물류센터군포점,10:30~19:30,"시급9,160",6시간전
경기 부천시,아워홈 서울여성병원부천점,06:30~16:00,"월급2,245,000",7시간전
서울 양천구,아워홈 SBS목동점,15:00~20:00,"시급9,160",7시간전
부산 남구,아워홈 동국제강부산점,09:00~18:00,"월급2,700,000",7시간전
세종 반곡동,아워홈 트리니움여성병원세종점,15:30~19:30,"시급9,160",8시간전
인천 연수구,아워홈 한국단자공업본사점,09:00~18:30,"시급9,160",8시간전
경기 안양시,한림성심병원평촌점,10:00~19:30,"일급87,020",11시간전
경기 평택시,아워홈 영신금속공업평택점,16:00~01:00,"시급9,160",11시간전
부산 강서구,아워홈 티케이지에코머티리얼부산점,22:00~08:00,"시급9,160",02/26
부산 강서구,아워홈 씨엔엠김해점,07:00~14:00,"시급9,160",02/26
부산 강서구,아워홈 씨엔엠김해점,15:30~19:30,"시급9,160",02/26
부산 강서구,아워홈 씨엔엠김해점,22:00~08:00,"시급9,160",02/26
광주 광산구,아워홈 대유중공업광주점,10:00~13:00,"시급10,000",02/26
강원 춘천시,아워홈 더플레이어스GC춘천점,시간협의,"월급2,200,000",02/26
서울 서초구,아워홈 LG전자양재RnD캠퍼스점,07:30~14:00,"시급10,992",02/26
인천 남동구,아워홈 후지테크코리아인천점,09:00~15:00,"시급9,300",02/26
울산 남구,아워홈 용산화학울산점,09:00~18:00,"일급73,280",02/25
경남 양산시,양산공장지원파트,08:30~17:30,"시급9,160",02/25
부산 사상구,아워홈 대남병원부산점,06:00~13:00,"시급9,160",02/25
경기 오산시,아워홈 LG화학테크센터오산점,09:30~18:30,"월급1,950,000",02/25
부산 기장군,아워홈 동남권원자력의학원,05:00~14:00,"시급9,160",02/25
서울 성북구,아워홈 국민대성북점,10:30~19:00,"시급9,160",02/25
강원 춘천시,아워홈 한림성심대학교춘천점,10:00~13:00,"시급9,160",02/25
부산 사하구,아워홈 동진섬유부산점,09:00~14:30,"시급9,160",02/25
부산 사상구,아워홈 넥센김해점,09:30~14:00,"월급1,300,000",02/25
부산 금정구,아워홈 부산외국어대학교점,시간협의,"시급9,160",02/24
서울 용산구,아워홈 LG유플러스용산점,시간협의,"시급9,160",02/22
부산 연제구,아워홈 부산외국어고등학교점,09:00~19:30,"시급9,160",02/22
