place,title,time,pay,date
인천 연수구,아이스크림홈런 공부방 동인천지국,시간협의,"월급1,800,000",5시간전
대구 동구,아이스크림홈런 지사사업실 대구지사,시간협의,"월급3,000,000",7시간전
대구 동구,아이스크림홈런 지사사업실 대구지사,시간협의,"월급3,000,000",7시간전
대구 동구,아이스크림홈런 지사사업실 대구지사,시간협의,"월급3,000,000",7시간전
부산 북구,아이스크림홈런 공부방 부산북부지국,12:00~18:00,"월급2,000,000",02/25
부산 금정구,아이스크림홈런 공부방 부산북부지국,12:00~18:00,"월급2,000,000",02/25
부산 전체,아이스크림홈런 지사사업실 부산지사,10:00~18:00,"월급3,000,000",02/18
서울 양천구,아이스크림홈런 지사사업실 동부지사,11:00~18:00,"월급3,300,000",02/18
서울 금천구,아이스크림홈런 지사사업실 동부지사,11:00~18:00,"월급3,300,000",02/18
인천 연수구,아이스크림홈런 공부방 동인천지국,시간협의,"월급1,800,000",02/18
인천 연수구,아이스크림홈런 공부방 동인천지국,시간협의,"월급1,800,000",02/18
서울 강남구,(주)아이스크림에듀,시간협의,"시급10,000",02/18
경기 파주시,아이스크림홈런 공부방 고양지국,13:00~18:00,"월급2,000,000",02/15
경기 고양시,아이스크림홈런 공부방 고양지국,13:00~18:00,"월급2,000,000",02/15
부산 부산진,아이스크림홈런 공부방 부산남부지국,13:00~18:00,"월급2,000,000",02/13
부산 남구,아이스크림홈런 공부방 부산남부지국,13:00~18:00,"월급2,000,000",02/13
부산 전체,아이스크림홈런 고객창출실 방문5센터,시간협의,"월급4,000,000",02/13
울산 전체,아이스크림홈런 고객창출실 방문5센터,시간협의,"월급4,000,000",02/13
경기 고양시,아이스크림홈런 지사사업실 북부지사,10:30~18:00,"월급3,500,000",02/12
경기 고양시,아이스크림홈런 지사사업실 북부지사,10:30~18:00,"월급3,500,000",02/12
부산 강서구,아이스크림홈런 공부방 부산서부지국,시간협의,"시급15,000",02/11
서울 전체,아이스크림홈런 고객창출실 방문3센터,시간협의,"월급4,000,000",02/11
