place,title,time,pay,date
경기 시흥시,언더아머 코리아 SSG Siheung,시간협의,"연봉27,150,000",3시간전
경기 시흥시,언더아머 코리아 SSG Siheung,시간협의,"연봉27,150,000",4시간전
부산 기장군,언더아머 코리아 SSG Busan,시간협의,"연봉27,150,000",6시간전
인천 전체,언더아머코리아(유),12:00~21:00,"시급11,520",6시간전
경기 시흥시,언더아머 코리아 SSG Siheung,시간협의,"연봉27,150,000",02/26
전국 전체,언더아머 코리아 Seoul,08:00~22:30,"연봉25,350,000",02/25
경기 이천시,언더아머코리아(유),시간협의,"연봉27,150,000",02/25
부산 기장군,언더아머 코리아 SSG Busan,시간협의,"연봉27,150,000",02/24
부산 기장군,언더아머 코리아 SSG Busan,시간협의,"연봉27,150,000",02/22
부산 기장군,언더아머 코리아 SSG Busan,시간협의,"연봉27,150,000",02/21
경기 이천시,언더아머코리아(유),시간협의,"연봉27,150,000",02/20
경기 김포시,언더아머코리아(유),시간협의,"연봉27,150,000",02/20
인천 전체,언더아머코리아(유),시간협의,"연봉27,150,000",02/19
경기 이천시,언더아머 코리아 Lotte Icheo,시간협의,"연봉27,150,000",02/18
경기 시흥시,언더아머 코리아 SSG Siheung,시간협의,"연봉27,150,000",02/18
부산 기장군,언더아머 코리아 SSG Busan,시간협의,"연봉27,150,000",02/17
부산 기장군,언더아머 코리아 SSG Busan,시간협의,"연봉27,150,000",02/13
부산 전체,언더아머 코리아 Lotte East,시간협의,"연봉27,150,000",02/13
경기 이천시,언더아머 코리아 Lotte Icheo,시간협의,"연봉27,150,000",02/13
부산 기장군,언더아머 코리아 SSG Busan,시간협의,"연봉27,150,000",02/12
