place,title,time,pay,date
부산 수영구,에그드랍 부산수영점,시간협의,"시급9,160",29분전
경기 이천시,에그드랍 이천터미널점,15:00~22:30,"월급1,900,000",2시간전
대전 서구,에그드랍 대전관저점,09:30~16:00,"시급9,160",2시간전
경기 부천시,에그드랍 부천역점,시간협의,"시급9,160",2시간전
세종 전체,에그드랍 세종새롬점,시간협의,"시급9,160",2시간전
부산 동구,에그드랍 부산범일동타워점,시간협의,"시급9,160",2시간전
인천 남동구,에그드랍 인천구월힐캐슬점,16:00~20:30,"시급9,160",3시간전
세종 전체,에그드랍 세종시청점,09:00~16:00,"시급9,160",4시간전
전북 전주시,에그드랍 전북도청점,시간협의,"월급2,400,000",6시간전
경기 부천시,에그드랍 부천역점,시간협의,"시급9,160",6시간전
경기 이천시,에그드랍 이천터미널점,15:00~22:30,"월급1,900,000",7시간전
경기 김포시,에그드랍 김포걸포점,시간협의,"시급9,160",7시간전
세종 전체,에그드랍 세종시청점,09:00~16:00,"시급9,160",11시간전
경기 김포시,에그드랍 김포걸포점,시간협의,"시급9,160",02/26
경기 김포시,에그드랍 김포걸포점,시간협의,"시급9,160",02/26
경기 김포시,에그드랍 김포걸포점,08:30~21:30,"월급2,200,000",02/26
경남 창원시,에그드랍 창원유니시티점,시간협의,"시급9,160",02/26
경북 경산시,에그드랍 경산하양점,12:00~21:00,"시급9,160",02/25
경기 화성시,에그드랍 동탄역점,08:00~01:00,"시급9,160",02/25
전북 군산시,에그드랍 군산수송점,11:00~21:00,"월급2,500,000",02/25
경기 성남시,에그드랍 판교역점,12:00~16:00,"시급9,160",02/25
경기 성남시,에그드랍 판교역점,08:30~12:00,"시급9,160",02/25
경기 성남시,에그드랍 판교역점,16:00~20:30,"시급9,160",02/25
세종 전체,에그드랍 세종시청점,09:00~16:00,"시급9,160",02/25
경기 수원시,에그드랍 수원영통역점,16:00~21:30,"시급9,160",02/25
경기 화성시,에그드랍 동탄영천점,09:00~14:00,"시급9,200",02/24
경북 경산시,에그드랍 경산하양점,12:00~21:00,"시급9,160",02/23
서울 서초구,에그드랍 양재역점,10:00~20:00,"시급13,000",02/22
경기 안산시,에그드랍 안산고잔점,시간협의,"월급2,200,000",02/22
경기 용인시,에그드랍 용인동백점,시간협의,"월급2,500,000",02/22
경기 용인시,에그드랍 용인역북점,시간협의,"시급9,200",02/22
경기 이천시,에그드랍 이천터미널점,15:00~22:30,"월급1,900,000",02/21
대전 서구,에그드랍 대전관저점,09:30~16:00,"시급9,160",02/21
서울 강남구,에그드랍 양재역점,시간협의,"시급12,000",02/21
서울 강남구,에그드랍 양재역점,시간협의,"월급2,500,000",02/21
울산 전체,에그드랍 울산삼산점,09:00~07:00,"시급9,160",02/21
서울 송파구,에그드랍 석촌호수점,12:00~19:30,"시급9,200",02/20
서울 송파구,에그드랍 석촌호수점,12:00~19:30,"시급9,200",02/20
경북 경산시,에그드랍 경산하양점,12:00~21:00,"시급9,160",02/20
경기 평택시,에그드랍 평택소사벌점,시간협의,"시급9,160",02/20
