place,title,time,pay,date
경남 김해시,엔제리너스 김해봉황D/I점,00:00~24:00,"시급9,160",2시간전
서울 광진구,엔제리너스 건대역점,시간협의,"시급9,160",4시간전
충남 천안시,엔제리너스 천안직산점,시간협의,"월급1,914,440",5시간전
충남 천안시,엔제리너스 천안직산점,12:00~15:00,"시급9,160",6시간전
경기 성남시,엔제리너스 분당서현점,시간협의,"시급9,160",8시간전
경남 진주시,엔제리너스 진주금호못점,13:00~17:00,"시급9,160",8시간전
서울 강서구,엔제리너스 김포공항1층점,시간협의,"시급9,160",8시간전
경남 김해시,엔제리너스 김해봉황D/I점,00:00~24:00,"시급9,160",8시간전
인천 중구,엔제리너스 인천공항 T2 B1,15:00~20:00,"시급9,160",13시간전
서울 송파구,엔제리너스 롯데캐슬잠실점,시간협의,"시급9,160",02/26
서울 송파구,엔제리너스 롯데캐슬잠실점,시간협의,"시급9,160",02/26
서울 송파구,엔제리너스 롯데캐슬잠실점,시간협의,"시급9,160",02/26
대구 북구,엔제리너스 대구칠성시장역점,00:00~24:00,"시급9,160",02/25
경남 김해시,엔제리너스 김해봉황D/I점,00:00~24:00,"시급9,160",02/23
경남 진주시,엔제리너스 진주금호못점,19:00~23:00,"시급9,160",02/23
대구 전체,엔제리너스 아일랜드점,시간협의,"시급9,160",02/19
인천 미추홀,엔제리너스 롯데백인천터미널점,시간협의,"시급9,160",02/18
광주 광산구,엔제리너스 광주흑석점,시간협의,"시급9,160",02/16
경남 진주시,엔제리너스 진주금호못점,19:00~23:00,"시급9,160",02/16
경기 수원시,엔제리너스 동수원신협점,19:00~22:30,"시급9,160",02/13
