place,title,time,pay,date
서울 전체,폴바셋 일원역점,06:00~23:00,"시급9,800",19분전
서울 전체,폴바셋 일원역점,06:00~23:00,"시급9,800",22분전
서울 전체,폴바셋 교대역점,07:30~23:00,"시급9,800",35분전
서울 서초구,폴바셋 뉴코아강남점,07:00~23:00,"시급9,800",35분전
서울 전체,더키친일뽀르노 신세계강남점,시간협의,"시급9,160",47분전
서울 전체,폴바셋 일원역점,06:00~23:00,"시급9,800",59분전
서울 강남구,폴바셋 역삼GFC점,06:30~23:00,"시급9,800",1시간전
서울 서초구,폴바셋 역삼GFC점,06:30~23:00,"시급9,800",1시간전
서울 광진구,폴바셋 역삼GFC점,06:30~23:00,"시급9,800",1시간전
서울 성동구,폴바셋 역삼GFC점,06:30~23:00,"시급9,800",1시간전
서울 중구,폴바셋 을지로파인에비뉴,06:00~24:00,"시급9,800",2시간전
경기 평택시,폴바셋 스타필드안성점,08:00~23:00,"시급9,800",2시간전
서울 전체,폴바셋 신세계강남점,09:00~22:00,"시급9,800",2시간전
경기 하남시,폴바셋 스타필드하남2호점,시간협의,"시급9,800",2시간전
광주 광산구,폴바셋 롯데아울렛광주수완점,09:00~23:00,"시급9,800",2시간전
서울 중랑구,폴바셋 강남구청역점,06:30~23:00,"시급9,800",2시간전
대구 동구,크리스탈제이드코리아,11:00~20:00,"시급10,992",2시간전
서울 서초구,폴바셋 반포쌍동빌딩점,07:00~23:00,"시급9,800",2시간전
서울 중구,폴바셋 서소문점,06:00~23:00,"시급9,800",2시간전
서울 전체,폴바셋 롯데강남점,08:00~22:00,"시급9,800",2시간전
서울 전체,폴바셋 교대역점,07:30~23:00,"시급9,800",3시간전
서울 동작구,폴바셋 방배역점,07:00~23:00,"시급9,800",3시간전
서울 서초구,폴바셋 강남삼성타운점,06:30~23:00,"시급9,800",3시간전
서울 송파구,폴바셋 스타필드시티위례점,09:00~23:00,"시급9,800",3시간전
서울 송파구,폴바셋 롯데월드몰점,시간협의,"시급9,800",4시간전
경기 광명시,폴바셋 AK플라자 광명점,시간협의,"시급9,160",4시간전
전북 전주시,폴바셋 전주금암DT점,시간협의,"시급9,160",4시간전
경남 김해시,폴바셋 롯데아울렛김해점,09:00~22:00,"시급9,800",4시간전
서울 중구,폴바셋 신세계본점,09:00~22:00,"시급9,800",4시간전
서울 동작구,폴바셋 방배역점,07:00~23:00,"시급9,800",4시간전
서울 전체,폴바셋 신세계강남점,09:00~22:00,"시급9,800",4시간전
경기 의정부,송반(엠즈씨드),시간협의,"시급9,800",4시간전
경기 용인시,폴바셋 에버랜드점,시간협의,"시급9,800",4시간전
경기 안성시,폴바셋 스타필드안성점,08:00~23:00,"시급9,800",4시간전
서울 영등포,폴바셋 롯데마트 양평점,09:00~23:00,"시급9,800",5시간전
서울 용산구,폴바셋 용산 아이파크몰점,09:30~22:30,"시급9,800",5시간전
서울 전체,폴바셋 압구정2호점,07:00~23:00,"시급9,800",5시간전
경기 전체,폴바셋 압구정2호점,07:00~23:00,"시급9,800",5시간전
서울 전체,폴바셋 롯데강남점,08:00~22:00,"시급9,800",5시간전
서울 전체,폴바셋 롯데강남점,08:00~22:00,"시급9,800",7시간전
